ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
,Cham, Cham,Amédée Charles Henri de,Noé,Amédée Charles Henri de Noé,1819-1879,1819,1879,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500017700
,Christo, Christo,Christo,Javacheff,Christo Javacheff,1935-2020,1935,2020,American (North American),Male,http://vocab.getty.edu/page/ulan/500115266
,Chryssa, Chryssa,Chryssa,Vardea-Mauromichaeli,Chryssa Vardea-Mauromichaeli,1933-2013,1933,2013,Greek (modern),female,http://vocab.getty.edu/page/ulan/500022002
,Guercino, Guercino,Francesco,Barbieri,Francesco Barbieri,1591-1666,1591,1666,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500021925
,Kuninao, Kuninao,Kuninao,Utagawa,Kuninao Utagawa,1793-1854,1793,1854,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500333878
,Kuniyasu, Kuniyasu,Utagawa,Yasugoro,Utagawa Yasugoro,1794-1834,1794,1834,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500334453
,Lemercier, Lemercier,,, ,1770-1930,1770,1930,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500050139
,Parmigianino, Parmigianino,,Parma, Parma,1503-1540,1503,1540,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500012615
,Raphael, Raphael,,Raffaele, Raffaele,1483-1520,1483,1520,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500023578
,Sadahide, Sadahide,Hashimoto,Sadahide,Hashimoto Sadahide,1807-1873,1807,1873,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500072517
,Yoshikazu, Yoshikazu,Utagawa,Yoshikazu,Utagawa Yoshikazu,1810-1910,1810,1910,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500334458
A. Ross,Pittman,A. Ross Pittman,,, ,,,,American,Male,
Abbott Handerson,Thayer,Abbott Handerson Thayer,,Thayer, Thayer,1849-1921,1849,1921,American (North American),Male,http://vocab.getty.edu/page/ulan/500016002
Aberdeen,Painter,Aberdeen Painter,,, ,490-410 BCE,,,Ancient Greek (culture or style),,http://vocab.getty.edu/page/ulan/500011950
Abraham,Bloemaert,Abraham Bloemaert,,Blommaert, Blommaert,1566-1651,1566,1651,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500007342
Abraham,Bosse,Abraham Bosse,,Bossee, Bossee,1602-1676,1602,1676,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500031187
Abraham,Leblond,Abraham Leblond,,, ,1819-1894,1819,1894,British (modern),Male,http://vocab.getty.edu/page/ulan/500063026
Ad,Reinhardt,Ad Reinhardt,Ad,Reinhardt,Ad Reinhardt,1913-1967,1913,1967,American (North American),Male,http://vocab.getty.edu/page/ulan/500013982
Adolf,Dehn,Adolf Dehn,,, ,1895-1968,1895,1968,American (North American),Male,http://vocab.getty.edu/page/ulan/500009264
Adolfo,Schlosser,Adolfo Schlosser,,, ,1939-2004,1939,2004,Austrian Spanish,Male,
Adolph,Gottlieb,Adolph Gottlieb,,, ,1903-1974,1903,1974,American (North American),Male,http://vocab.getty.edu/page/ulan/500004904
Adolphe Jean Baptiste,Bayot,Adolphe Jean Baptiste Bayot,,, ,1810-1866,1810,1866,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500083284
Adolphe Paul Emile,Balfourier,Adolphe Paul Emile Balfourier,,, ,1816-1875,1816,1875,French (culture or style),,http://vocab.getty.edu/page/ulan/500183562
Adolphe,Willette,Adolphe Willette,,Willette, Willette,1857-1926,1857,1926,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500015711
Adriaen Cornelisz.,Beeldemaker,Adriaen Cornelisz. Beeldemaker,Adriaen Cornelisz.,Beeldemaker,Adriaen Cornelisz. Beeldemaker,1618-1709,1618,1709,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500013716
Adriaen van,Ostade,Adriaen van Ostade,,, ,1610-1685,1610,1685,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500021654
Adrien Etienne,Gaudez,Adrien Etienne Gaudez,,, ,1845-1902,1845,1902,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500061178
Adro,Miguel,Adro Miguel,,, ,,,,Spanish,Male,
Agostino,Carracci,Agostino Carracci,,Agostino, Agostino,1557-1602,1557,1602,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500115349
Akira,Kurosaki,Akira Kurosaki,,, ,1937,1937,,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500093690
Albany E.,Howarth,Albany E. Howarth,,, ,1872-1936,1872,1936,British (modern),Male,http://vocab.getty.edu/page/ulan/500002605
Albert de,Balleroy,Albert de Balleroy,Albert de,Balleroy,Albert de Balleroy,1828-1873,1828,1873,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500049277
Albert,Herter,Albert Herter,,, ,1871-1950,1871,1950,American (North American),Male,http://vocab.getty.edu/page/ulan/500024105
Albert,Ràfols-Casamada,Albert Ràfols-Casamada,,, ,1923-2009,1923,2009,Spanish,Male,
Albert,Rosenthal,Albert Rosenthal,A.,Rosenthal,A. Rosenthal,1863-1939,1863,1939,American (North American),Male,http://vocab.getty.edu/page/ulan/500021856
Alberto,Giacometti,Alberto Giacometti,,, ,1901-1966,1901,1966,Swiss,Male,http://vocab.getty.edu/page/ulan/500118871
Albrecht,Altdorfer,Albrecht Altdorfer,Albrecht,Altdorfer,Albrecht Altdorfer,1475-1538,1475,1538,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500031250
Albrecht,Dürer,Albrecht Dürer,,Albert, Albert,1471-1528,1471,1528,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500115493
Alcide Joseph,Lorentz,Alcide Joseph Lorentz,,, ,1813-1913,1813,1913,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500022471
Alessandro,Turchi,Alessandro Turchi,,Turchi, Turchi,1578-1649,1578,1649,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500003962
Alex S.,Redein,Alex S. Redein,Alex S.,Redein,Alex S. Redein,1912,1912,,American (North American),Male,http://vocab.getty.edu/page/ulan/500054166
Alexander,Archipenko,Alexander Archipenko,,, ,1887-1964,1887,1964,American (North American),Male,http://vocab.getty.edu/page/ulan/500022523
Alexander,Calder,Alexander Calder,,Calder, Calder,1898-1976,1898,1976,American (North American),Male,http://vocab.getty.edu/page/ulan/500007824
Alexis,Rockman,Alexis Rockman,Alexis,Rockman,Alexis Rockman,1962,1962,,American (North American),female,http://vocab.getty.edu/page/ulan/500056823
Alfonso Gomez,Bonifacio,Alfonso Gomez Bonifacio,,, ,,,,Spanish,Male,
Alfred,Barrós,Alfred Barrós,,, ,,,,,Male,
Alfred,DeCredico,Alfred DeCredico,,, ,1944-2009,1944,2009,American (North American),Male,http://vocab.getty.edu/page/ulan/500487280
Alfred Everitt,Orr,Alfred Everitt Orr,,, ,1886,1886,,American (North American),Male,http://vocab.getty.edu/page/ulan/500469316
Alfred J.,Pounders,Alfred J. Pounders,,, ,1931-,1931,,American,Male,
Alfred,Manessier,Alfred Manessier,,, ,1911-1993,1911,1993,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500010362
Alice,Adams,Alice Adams,,, ,1930,1930,,American (North American),female,http://vocab.getty.edu/page/ulan/500033075
Alice,Neel,Alice Neel,,, ,1900-1984,1900,1984,American (North American),female,http://vocab.getty.edu/page/ulan/500022216
Alison,Saar,Alison Saar,Alison,Saar,Alison Saar,1956,1956,,American (North American),,http://vocab.getty.edu/page/ulan/500122244
Allaert van,Everdingen,Allaert van Everdingen,,Everding, Everding,1621-1675,1621,1675,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500115159
Alonzo C.,Webb,Alonzo C. Webb,,, ,1888-1975,1888,1975,American,Male,
Alphonse,Legros,Alphonse Legros,,Legros, Legros,1837-1911,1837,1911,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500013515
Alyson,Shotz,Alyson Shotz,Alyson,Shotz,Alyson Shotz,1964,1964,,American (North American),female,http://vocab.getty.edu/page/ulan/500351075
Amadeo,Gabino,Amadeo Gabino,,, ,1922-2004,1922,2004,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500025957
Amico,Aspertini,Amico Aspertini,,, ,1474-1552,1474,1552,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500022951
Amos,Sewell,Amos Sewell,,, ,1901-1983,1901,1983,American,Male,
Anders,Zorn,Anders Zorn,,Zorn, Zorn,1860-1920,1860,1920,Swedish (culture or style),Male,http://vocab.getty.edu/page/ulan/500002927
André,Derain,André Derain,,, ,1880-1954,1880,1954,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500004535
Andre,Duret,Andre Duret,,, ,1921-,1921,,French,Male,
Andre,Evrard,Andre Evrard,André,Evrard,André Evrard,1936,1936,,Swiss,Male,http://vocab.getty.edu/page/ulan/500137718
André,Lanskoy,André Lanskoy,,, ,1902-1976,1902,1976,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500030813
André,Masson,André Masson,,Masson, Masson,1896-1987,1896,1987,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500030295
Andrea di,Bartolo,Andrea di Bartolo,,, ,1359-1428,1359,1428,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500024770
Andres,Serrano,Andres Serrano,Andres,Serrano,Andres Serrano,1950,1950,,American (North American),Male,http://vocab.getty.edu/page/ulan/500059149
Andrew,Karoly,Andrew Karoly,,, ,1893-1978,1893,1978,Hungarian,Male,
Andrew,Picken,Andrew Picken,,, ,1815-1845,1815,1845,British (modern),Male,http://vocab.getty.edu/page/ulan/500021753
Andrzej,Klimowski,Andrzej Klimowski,,, ,1871,1871,,Polish (culture),Male,http://vocab.getty.edu/page/ulan/500001700
Andy,Warhol,Andy Warhol,Andy,Warhol,Andy Warhol,1928-1987,1928,1987,American (North American),Male,http://vocab.getty.edu/page/ulan/500006031
Angelica,Kauffman,Angelica Kauffman,,Angelica, Angelica,1741-1807,1741,1807,Swiss,female,http://vocab.getty.edu/page/ulan/500115055
Angélique,Bregeon,Angélique Bregeon,Angélique,Tilliard,Angélique Tilliard,1743?-1782,1743?,1782,French,female,
Anita,Parkhurst Willcox,Anita Parkhurst Willcox,,, ,1892-1984,1892,1984,American,female,
Ann,Bauer,Ann Bauer,,, ,,,,,female,
Ann,Mittelman,Ann Mittelman,,, ,1898-1972,1898,1972,,female,
Anne Wall,Thomas,Anne Wall Thomas,,, ,1928-,1928,,American,female,
Annie,Herlocker,Annie Herlocker,,, ,,,,,female,
Ansei,Uchima,Ansei Uchima,,, ,1921-2000,1921,2000,American (North American),Male,http://vocab.getty.edu/page/ulan/500051067
Anthonie,Waterloo,Anthonie Waterloo,,Waterloo, Waterloo,1605-1690,1605,1690,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500004986
Anthony van,Dyck,Anthony van Dyck,,Vandyke, Vandyke,1599-1641,1599,1641,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500115190
Antoine-Jean,Duclos,Antoine-Jean Duclos,,, ,1742-1795,1742,1795,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500040734
Antoine-Louis,Barye,Antoine-Louis Barye,,, ,1796-1875,1796,1875,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500007044
Anton I,Wierix,Anton I Wierix,I,Anton Wierix,I Anton Wierix,1515-1579,1515,1579,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500204689
Anton Maria I,Zanetti,Anton Maria I Zanetti,Anton Maria Zanetti,I,Anton Maria Zanetti I,1680-1757,1680,1757,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500014948
Antoni,Abad,Antoni Abad,Antoni,Abad,Antoni Abad,1956,1956,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500385143
Antoni,Clavé,Antoni Clavé,,, ,1913-2005,1913,2005,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500124348
Antoni,Marí Ribas,Antoni Marí Ribas,Antoni Marí,Ribas,Antoni Marí Ribas,1906-1974,1906,1974,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500039525
Antoni,Tápies,Antoni Tápies,,, ,1923-2012,1923,2012,Spanish,Male,
Antonio,Acquaroni,Antonio Acquaroni,,, ,1800-1874,1800,1874,Italian,Male,
Antonio,Canova,Antonio Canova,,Canova, Canova,1757-1822,1757,1822,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500115339
Antonio da,Trento,Antonio da Trento,Antonio Da,Trento,Antonio Da Trento,1500-1560,1500,1560,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500020814
Antonio,Frasconi,Antonio Frasconi,,Chico, Chico,1919-2013,1919,2013,American (North American),Male,http://vocab.getty.edu/page/ulan/500030189
Antonio,Muntadas,Antonio Muntadas,Antoni,Muntadas,Antoni Muntadas,1942,1942,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500027740
Antonio,Salamanca,Antonio Salamanca,Antonio,Salamanca,Antonio Salamanca,1490-1562,1490,1562,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500025118
Antonio,Saura,Antonio Saura,Antonio,Saura,Antonio Saura,1930,1930,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500029593
Antonio Zoran,Music,Antonio Zoran Music,Zoran,Music,Zoran Music,1909-2005,1909,2005,Slovene (culture or style),Male,http://vocab.getty.edu/page/ulan/500000140
April,Gornik,April Gornik,,, ,1953,1953,,American (North American),female,http://vocab.getty.edu/page/ulan/500118770
Aristide,Maillol,Aristide Maillol,,, ,1861-1944,1861,1944,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500001596
Armand Etienne,Bracony,Armand Etienne Bracony,,, ,1825-1894,1825,1894,French,Male,
Arno,Breker,Arno Breker,,, ,1900-1991,1900,1991,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500096044
Arnold,Blanch,Arnold Blanch,,Blanch, Blanch,1896-1968,1896,1968,American (North American),Male,http://vocab.getty.edu/page/ulan/500087778
Arnold van,Westerhout,Arnold van Westerhout,Arnold van,Westerhout,Arnold van Westerhout,1651-1725,1651,1725,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500120165
Arthur Anselm,Orr,Arthur Anselm Orr,,, ,1868-1949,1868,1949,British (modern),Male,http://vocab.getty.edu/page/ulan/500108104
Arthur Luis,Piza,Arthur Luis Piza,Arthur Luiz,Piza,Arthur Luiz Piza,1928-2017,1928,2017,Brazilian,Male,http://vocab.getty.edu/page/ulan/500335008
Arthur William,Heintzelman,Arthur William Heintzelman,,, ,1891-1965,1891,1965,American (North American),Male,http://vocab.getty.edu/page/ulan/500057101
Arwed D.,Gorella,Arwed D. Gorella,,, ,1937,1937,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500069098
Ary,Stillman,Ary Stillman,Ary,Stillman,Ary Stillman,1891-1967,1891,1967,American (North American),Male,http://vocab.getty.edu/page/ulan/500095124
Asa,Cheffetz,Asa Cheffetz,,, ,1896-1965,1896,1965,American (North American),Male,http://vocab.getty.edu/page/ulan/500099606
August,Puig,August Puig,,, ,1929,1929,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500348310
August,Vallmitjana Garrido,August Vallmitjana Garrido,August Vallmitjana,Garrido,August Vallmitjana Garrido,1894-1990,1894,1990,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500040263
Auguste Andre,Lancon,Auguste Andre Lancon,,, ,1836-1887,1836,1887,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500023482
Auguste,Rodin,Auguste Rodin,Francois A. Rene,Rodin,Francois A. Rene Rodin,1840-1917,1840,1917,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500016619
Augustin,Ubeda,Augustin Ubeda,Augustin,Ubeda,Augustin Ubeda,1925,1925,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500175783
Augustus,John,Augustus John,,John, John,1878-1961,1878,1961,British (modern),Male,http://vocab.getty.edu/page/ulan/500018892
Augustus,Koopman,Augustus Koopman,,, ,1869-1914,1869,1914,American (North American),Male,http://vocab.getty.edu/page/ulan/500020211
Augustus Welby Northmore,Pugin,Augustus Welby Northmore Pugin,,, ,1812-1852,1812,1852,British (modern),Male,http://vocab.getty.edu/page/ulan/500008414
Avery,Handly,Avery Handly,,, ,-1958,,1958,American,Male,
Avigdor,Arikha,Avigdor Arikha,,, ,1929-2010,1929,2010,Israeli,Male,http://vocab.getty.edu/page/ulan/500103107
Barbara,Kruger,Barbara Kruger,,, ,1945,1945,,American (North American),female,http://vocab.getty.edu/page/ulan/500118792
Barbara,Kwasniewska,Barbara Kwasniewska,,, ,1931,1931,,Polish (culture),female,http://vocab.getty.edu/page/ulan/500490305
Barbara,Morgan,Barbara Morgan,,, ,1900-1992,1900,1992,American (North American),female,http://vocab.getty.edu/page/ulan/500023840
Barry,Buxkamper,Barry Buxkamper,,, ,,,,American,Male,
Bartolomeo,Coriolano,Bartolomeo Coriolano,,, ,1589-1689,1589,1689,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500014634
Bartolomeo,Pinelli,Bartolomeo Pinelli,,, ,1781-1835,1781,1835,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500030127
Battista,Franco,Battista Franco,,Franco, Franco,1500-1561,1500,1561,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500029646
Beatrice,Riese,Beatrice Riese,Beatrice,Riese,Beatrice Riese,1917-2004,1917,2004,American (North American),female,http://vocab.getty.edu/page/ulan/500097869
Benigno,Bossi,Benigno Bossi,Benigno,Bossi,Benigno Bossi,1727-1792,1727,1792,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500020376
Benjamin Robert,Haydon,Benjamin Robert Haydon,,Hayden, Hayden,1786-1846,1786,1846,British (modern),Male,http://vocab.getty.edu/page/ulan/500021184
Benjamin,West,Benjamin West,,West, West,1738-1820,1738,1820,American (North American),Male,http://vocab.getty.edu/page/ulan/500026989
Benjamin,Wilson,Benjamin Wilson,,Wilson, Wilson,1721-1788,1721,1788,British (modern),Male,http://vocab.getty.edu/page/ulan/500001626
Bernard,Cohen,Bernard Cohen,,, ,1933,1933,,British (modern),Male,http://vocab.getty.edu/page/ulan/500022012
Bernard,Dufour,Bernard Dufour,,, ,1922,1922,,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500020665
Bernard,Leach,Bernard Leach,,, ,1887-1979,1887,1979,British (modern),Male,http://vocab.getty.edu/page/ulan/500018779
Bernard,Picart,Bernard Picart,,, ,1673-1733,1673,1733,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500001805
Bernhard,Jäger,Bernhard Jäger,,, ,1935-,1935,,German,Male,
Bernice M.,Branson,Bernice M. Branson,,, ,1882-1936,1882,1936,American,female,
Berthe,Morisot,Berthe Morisot,,, ,1841-1895,1841,1895,French (culture or style),female,http://vocab.getty.edu/page/ulan/500029669
Beth Van,Hoesen,Beth Van Hoesen,Beth,Van Hoesen,Beth Van Hoesen,1926,1926,,American (North American),female,http://vocab.getty.edu/page/ulan/500063546
Beveridge,Moore,Beveridge Moore,,, ,1915-2004,1915,2004,American,Male,
Bicci di,Lorenzo,Bicci di Lorenzo,Bicci Di,Lorenzo,Bicci Di Lorenzo,1373-1452,1373,1452,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500002727
Bill,Viola,Bill Viola,Bill,Viola,Bill Viola,1951,1951,,American (North American),Male,http://vocab.getty.edu/page/ulan/500092205
Bonifazio de',Pitati,Bonifazio de' Pitati,,Bonifacio, Bonifacio,1487-1553,1487,1553,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500014243
Bram van,Velde,Bram van Velde,Bram van,Velde,Bram van Velde,1895-1981,1895,1981,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500020102
Brenda,Miller,Brenda Miller,,, ,1941,1941,,American (North American),female,http://vocab.getty.edu/page/ulan/500083892
Bronlyn,Jones,Bronlyn Jones,,, ,1954-,1954,,American,Male,
Bruce,Conner,Bruce Conner,,, ,1933-2008,1933,2008,American (North American),Male,http://vocab.getty.edu/page/ulan/500116235
Bruce,Currie,Bruce Currie,,, ,1911-2011,1911,2011,American (North American),Male,http://vocab.getty.edu/page/ulan/500048574
Bruce,Onobrakpeya,Bruce Onobrakpeya,,, ,1932,1932,,Nigerian,Male,http://vocab.getty.edu/page/ulan/500118582
Bryce,McCloud,Bryce McCloud,,, ,,,,"Nashville, TN",Male,
Budd,Hopkins,Budd Hopkins,,, ,1931-2011,1931,2011,American (North American),Male,http://vocab.getty.edu/page/ulan/500008902
Burton,Rice,Burton Rice,,, ,,,,,Male,
Byron,McKeeby,Byron McKeeby,,, ,1936,1936,,American (North American),Male,http://vocab.getty.edu/page/ulan/500467498
Caleb Cain,Marcus,Caleb Cain Marcus,,, ,1978-,1978,,American,Male,
Camille,Pissarro,Camille Pissarro,,, ,1831-1903,1831,1903,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500001924
Camille-Léopold,Cabaillot-Lassalle,Camille-Léopold Cabaillot-Lassalle,Camille,Lassalle,Camille Lassalle,1839-1939,1839,1939,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500085628
Carel Jozeph,Grips,Carel Jozeph Grips,,, ,1825-1920,1825,1920,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500040933
Carl,Rothy,Carl Rothy,,, ,,,,,Male,
Carlo Antonio,Tavella,Carlo Antonio Tavella,Carlo Antonio,Tavella,Carlo Antonio Tavella,1668-1738,1668,1738,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500029841
Carlo,Cesi,Carlo Cesi,,, ,1612-1692,1612,1692,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500030069
Carol,Summers,Carol Summers,,, ,1925,1925,,American (North American),female,http://vocab.getty.edu/page/ulan/500021858
Carrie Mae,Weems,Carrie Mae Weems,Carrie Mae,Weems,Carrie Mae Weems,1953,1953,,American (North American),female,http://vocab.getty.edu/page/ulan/500329422
Cass,Gilbert,Cass Gilbert,,, ,1859-1934,1859,1934,American (North American),Male,http://vocab.getty.edu/page/ulan/500007284
Cathie,Ruggie-Saunders,Cathie Ruggie-Saunders,,, ,1949-,1949,,American,female,
Ce,Roser,Ce Roser,Ce,Roser,Ce Roser,1871,1871,,American (North American),,http://vocab.getty.edu/page/ulan/500102788
Cécile,Chennevière,Cécile Chennevière,,, ,1889-1989,1889,1989,French (culture or style),,http://vocab.getty.edu/page/ulan/500425684
Cecily,Kahn,Cecily Kahn,,, ,1959-,1959,,American,female,
Chaim,Gross,Chaim Gross,,, ,1904-1991,1904,1991,American (North American),Male,http://vocab.getty.edu/page/ulan/500033064
Chaim,Kanner,Chaim Kanner,,, ,1943-2005,1943,2005,French,Male,
Charles,Bouleau,Charles Bouleau,,, ,1906-,1906,,French,Male,
Charles Buckles,Falls,Charles Buckles Falls,,, ,1874-1959,1874,1959,American (North American),Male,http://vocab.getty.edu/page/ulan/500184162
Charles,Clayton,Charles Clayton,,, ,1771-1930,1771,1930,British (modern),Male,http://vocab.getty.edu/page/ulan/500080867
Charles Dana,Gibson,Charles Dana Gibson,,, ,1867-1944,1867,1944,American (North American),Male,http://vocab.getty.edu/page/ulan/500012937
Charles,Despiau,Charles Despiau,,, ,1874-1946,1874,1946,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115511
Charles Edmond,Renault,Charles Edmond Renault,,, ,1829-1905,1829,1905,French,Male,
Charles Edward,Chambers,Charles Edward Chambers,,, ,1883-1941,1883,1941,American (North American),Male,http://vocab.getty.edu/page/ulan/500026963
Charles Emile,Jacque,Charles Emile Jacque,,Jacques, Jacques,1813-1894,1813,1894,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500027865
Charles François,Daubigny,Charles François Daubigny,,Daubigny, Daubigny,1817-1878,1817,1878,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115164
Charles François Gabriel I,Levachez,Charles François Gabriel I Levachez,Charles François Gabriel Levachez,I,Charles François Gabriel Levachez I,1730-1830,1730,1830,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500108160
Charles Frederick,Naegele,Charles Frederick Naegele,,, ,1857-1944,1857,1944,American,Male,
Charles Green,Bush,Charles Green Bush,,, ,1842-1909,1842,1909,American (North American),Male,http://vocab.getty.edu/page/ulan/500336622
Charles Haslewood,Shannon,Charles Haslewood Shannon,,Shannon, Shannon,1863-1937,1863,1937,British (modern),Male,http://vocab.getty.edu/page/ulan/500020950
Charles Herbert,Woodbury,Charles Herbert Woodbury,,Woodbury, Woodbury,1864-1940,1864,1940,American (North American),Male,http://vocab.getty.edu/page/ulan/500008853
Charles,Le Brun,Charles Le Brun,,Lebrun, Lebrun,1619-1690,1619,1690,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500016215
Charles Marie,Dulac,Charles Marie Dulac,,, ,1865-1898,1865,1898,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500000748
Charles,Meryon,Charles Meryon,,, ,1821-1868,1821,1868,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500001302
Charles Samuel,Keene,Charles Samuel Keene,,, ,1823-1891,1823,1891,British (modern),Male,http://vocab.getty.edu/page/ulan/500030662
Charles Stuart,Forbes,Charles Stuart Forbes,,, ,1860-1926,1860,1926,American (North American),Male,http://vocab.getty.edu/page/ulan/500108813
Charles-Nicolas the elder,Cochin,Charles-Nicolas the elder Cochin,,Cochin, Cochin,1688-1754,1688,1754,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500008603
Cheryl,Goldsleger,Cheryl Goldsleger,,, ,1951,1951,,American (North American),female,http://vocab.getty.edu/page/ulan/500097443
Chikanobu,Yoshu,Chikanobu Yoshu,Toyohara,Chikanobu,Toyohara Chikanobu,1838-1912,1838,1912,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500335317
Childe de Rohan,d'Harcourt,Childe de Rohan d'Harcourt,,, ,1886-?,1886,,,Male,
Childe,Hassam,Childe Hassam,,Hassam, Hassam,1859-1935,1859,1935,American (North American),Male,http://vocab.getty.edu/page/ulan/500018088
Chizuko,Yoshida,Chizuko Yoshida,Chizuko,Yoshida,Chizuko Yoshida,1924,1924,,Japanese (culture or style),,http://vocab.getty.edu/page/ulan/500461926
Chris,Burden,Chris Burden,,, ,1946-2015,1946,2015,American (North American),Male,http://vocab.getty.edu/page/ulan/500118760
Chris,Drury,Chris Drury,,, ,1948,1948,,British (modern),Male,http://vocab.getty.edu/page/ulan/500128680
Christiane,Baumgartner,Christiane Baumgartner,,, ,1967,1967,,"German (culture, style, period)",female,http://vocab.getty.edu/page/ulan/500386167
Christophe,Kutner,Christophe Kutner,,, ,,,,,Male,
Chuck,Close,Chuck Close,,, ,1940,1940,,American (North American),Male,http://vocab.getty.edu/page/ulan/500031023
Clarissa T.,Sligh,Clarissa T. Sligh,Clarissa T.,Sligh,Clarissa T. Sligh,1939,1939,,American (North American),female,http://vocab.getty.edu/page/ulan/500341147
Claude,Gillot,Claude Gillot,,, ,1673-1722,1673,1722,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115197
Claude,Lorrain,Claude Lorrain,,Claud, Claud,1604-1682,1604,1682,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115366
Claude,Mellan,Claude Mellan,,Mellen, Mellen,1598-1688,1598,1688,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500026391
Claudine,Bouzonnet-Stella,Claudine Bouzonnet-Stella,Claudine,Stella,Claudine Stella,1636-1697,1636,1697,French (culture or style),female,http://vocab.getty.edu/page/ulan/500018274
