last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
"Hayashi, Genzaburo","born Kyoto, Japan",,,Q34600,Kyoto,Japan,painter,painter,Genzaburo Hayashi,"['Hayashi, Genzaburo (born Kyoto, Japan)']"
"Hebert, Frances Marian","American, 1899-1960",1899,1960,,,,printmaker,American,Frances Marian Hebert,"['Hebert, Frances Marian (American, 1899-1960)']"
Heidenreich,,,,,,,printmaker,printmaker,Heidenreich,['Heidenreich']
"Heidenreich, D.",,,,,,,printmaker,printmaker,D. Heidenreich,"['Heidenreich, D.']"
"Held, Mara","1954-, born New York, NY",1954,,Q60,New York, NY,printmaker,printmaker,Mara Held,"['Held, Mara (1954-, born New York, NY)']"
"Hendee, A.",,,,,,,printmaker,printmaker,A. Hendee,"['Hendee, A.']"
"Heras, Arturo",or Heras Sanz,,,,,,printmaker,printmaker,Arturo Heras,"['Heras, Arturo (or Heras Sanz)  (1945-, born Valencia, Spain)']"
"Herlocker, Annie","1982-, born Indianapolis, IN",1982,,Q6346,Indianapolis, IN,printmaker,printmaker,Annie Herlocker,"['Herlocker, Annie  (1982-, born Indianapolis, IN)']"
"Herreyns, Gilbert","1943-, born Uccle, Belgium",1943,,Q203312,Uccle, Belgium,printmaker,printmaker,Gilbert Herreyns,"['Herreyns, Gilbert (1943-, born Uccle, Belgium)']"
"Hill, Daniel G.","1956-, born New York, NY",1956,,Q60,New York, NY,printmaker,printmaker,Daniel G. Hill,"['Hill, Daniel G. (1956-, born New York, NY)']"
"Hochstetler, T. Max",1964-,1964,,,,,painter,painter,T. Max Hochstetler,"['Hochstetler, T. Max (1964-)', 'Hochstetler, T. Max']"
"Hoffmann, E.P.",,,,,,,printmaker,printmaker,E.P. Hoffmann,"['Hoffmann, E.P.']"
"Hōko, Ichimosai",,,,,,,book artist,book artist,Ichimosai Hōko,"['Hōko, Ichimosai', 'Hoko, Ichimosai']"
"Hollingsworth, Bob",,,,,,,painter,painter,Bob Hollingsworth,"['Hollingsworth, Bob']"
"Holly, Gerald","1917-2004, born Lewisburg, TN",1917,2004,Q2355638,Lewisburg, TN,photographer,photographer,Gerald Holly,"['Holly, Gerald (1917-2004, born Lewisburg, TN)']"
"Hond, Hendrik",1588-1658,1588,1658,,,,printmaker,printmaker,Hendrik Hond,"['Hond, Hendrik (1588-1658)']"
"Hooper, Tim","ca. 1970, born Nashville, TN",,,Q23197,Nashville,TN,printmaker,printmaker,Tim Hooper,"['Hooper, Tim (ca. 1970, born Nashville, TN)']"
"Hoseki, Sanji",,,,,,,printmaker,printmaker,Sanji Hoseki,"['Hoseki, Sanji']"
"Hotta, Renzan",,,,,,,book artist,book artist,Renzan Hotta,"['Hotta, Renzan']"
"Howard, John",,,,,,,painter,painter,John Howard,"['Howard, John']"
"Hsiao, Gilbert","1956-, born Pennsylvania",1956,,Q1400,Pennsylvania,,printmaker,printmaker,Gilbert Hsiao,"['Hsiao, Gilbert (1956-, born Pennsylvania)']"
"Hu, Jiang",,,,,,,painter,painter,Jiang Hu,"['Hu, Jiang']"
"Huggins, Victor","1936-, born Durham, NC",1936,,Q49229,Durham, NC,printmaker,printmaker,Victor Huggins,"['Huggins, Victor (1936-, born Durham, NC)', 'Huggins, Victor  (1936-)', 'Huggins, Victor (1936-)']"
"Hulsey, Sarah",", born Oklahoma City, OK",,,Q34863,Oklahoma City,OK,printmaker,printmaker,Sarah Hulsey,"['Hulsey, Sarah (, born Oklahoma City, OK)']"
"Husein, Faik","1944-2004, born Nasria, Iraq, died New York, NY",1944,2004,Q38811,Nasria, Iraq,printmaker,printmaker,Faik Husein,"['Husein, Faik (1944-2004, born Nasria, Iraq, died New York, NY)', 'Husein, Faik']"
"Ichida, Jirobei",,,,,,,book artist,book artist,Jirobei Ichida,"['Ichida, Jirobei']"
"Ideal, Phillis","1942-, born Roswell, NM",1942,,Q33561,Roswell, NM,printmaker,printmaker,Phillis Ideal,"['Ideal, Phillis (1942-, born Roswell, NM)']"
Ikkoku-sai,,,,,,,artist,artist,Ikkoku-sai,['Ikkoku-sai']
"Inoue, Kenroku Sensei",,,,,,,book artist,book artist,Kenroku Sensei Inoue,"['Inoue, Kenroku Sensei']"
"Itakura, Shukuei",,,,,,,book artist,book artist,Shukuei Itakura,"['Itakura, Shukuei']"
"Itiani, A.",,,,,,,painter,painter,A. Itiani,"['Itiani, A.']"
"Jackson, Julian","1953-, born Richmond, VA",1953,,Q43421,Richmond, VA,printmaker,printmaker,Julian Jackson,"['Jackson, Julian (1953-, born Richmond, VA)']"
"Janezic, Alexandra","1988-, born Orange, TX",1988,,Q982388,Orange, TX,printmaker,printmaker,Alexandra Janezic,"['Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)']"
"Janus, Jan",,,,,,,artist,artist,Jan Janus,"['Janus, Jan']"
Jeremy D. Maynard,"1977-, born Nashville, TN",1977,,Q23197,Nashville, TN,printmaker,printmaker,Jeremy D. Maynard,"['Jeremy D. Maynard (1977-, born Nashville, TN)']"
Jiang Hu,,,,,,,painter,painter,Jiang Hu,['Jiang Hu']
Jichosai,Nichosai,,,,,,book artist,book artist,Jichosai,['Jichosai (Nichosai) (1781-1788)']
"Jimenez, Luis",,,,,,,printmaker,printmaker,Luis Jimenez,"['Jimenez, Luis']"
"Jimerfield, Dan","1974-, born Cumberland, MO",1974,,,Cumberland, MO,printmaker,printmaker,Dan Jimerfield,"['Jimerfield, Dan (1974-, born Cumberland, MO)', 'Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)']"
"Johnston, Yves",1920-,1920,,,,,printmaker,printmaker,Yves Johnston,"['Johnston, Yves (1920-)']"
"Jones, Bronlyn","1954-, born Williamsburg, IA",1954,,Q2099362,Williamsburg, IA,drawer,drawer,Bronlyn Jones,"['Jones, Bronlyn (1954-, born Williamsburg, IA)']"
"Josephson, Laura",,,,,,,photographer,photographer,Laura Josephson,"['Josephson, Laura']"
"Judson, Jeanette Alexander",1912-2002,1912,2002,,,,painter,painter,Jeanette Alexander Judson,"['Judson, Jeanette Alexander (1912-2002)']"
"Juszczk, James Joseph","1943-, born Chicago, IL",1943,,Q1297,Chicago, IL,printmaker,printmaker,James Joseph Juszczk,"['Juszczk, James Joseph (1943-, born Chicago, IL)', 'Juszczyk, James Joseph (American painter, born 1943)']"
"Kadi, Ramon Marcus","1967, born Surabaya, Indonesia",1967,,Q11462,Surabaya, Indonesia,printmaker,printmaker,Ramon Marcus Kadi,"['Kadi, Ramon Marcus (1967, born Surabaya, Indonesia)']"
Kado,,,,,,,painter,painter,Kado,['Kado']
"Kalmbach, Ann","1950-, born Rochester, NY",1950,,Q49218,Rochester, NY,printmaker,printmaker,Ann Kalmbach,"['Kalmbach, Ann and Kellner, Tatana (1950-, 1950-, born Rochester, NY; Prague, Czech Republic)']"
"Kanner, Chaim","1943-2000, born Nice, France",1943,2000,Q33959,Nice, France,photographer,photographer,Chaim Kanner,"['Kanner, Chaim (1943-2000, born Nice, France)']"
