accession_number,label,type
1999.141g,"The Follies of Princely Power, from In Praise of Folly (Encomium Moriae)",print
2017.001.033,Jane Eyre: Orphanage,print
2000.045,Vassar Clements and The Little Big Band,poster
2000.104,"Mongrel Music, Alejandro Escovedo, The Backsliders, Big Sandy and his Fly-Rite Boys, Boozoo Chavis (and more)",poster
1979.1210P,"Olympic Poster, Berlin 1936",poster
2012.008jj,"Black Square Reflection, from American Abstract Artists 60th Anniversary Print Portfolio",poster
2000.003,Girl Walking (Elevated),print
2002.041.002,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin (A few flowers for some friends, with a glance upon the garden)",print
2015.037gg,"Tower Fantasy, from American Abstract Artists 50th Anniversary Print Portfolio",print
2000.066,"Phil Lee ""The Mighty King Of Love"" on Tour with Duane Jarvis and Los Flacos Europe 1999",poster
2001.177,Willie Nelson Family Picnic,poster
2004.040,Lattice,print
2000.049,Sisters Wade & The Hipwaders,poster
2000.016,"Darcey Lynn Seaver and James Gurney Dungan, Getting Married, May 8th",poster
2005.040,"Endangered Species, from ""Fables with a Twist""",poster
2004.068,Small Birds from the portfolio Dear Stieglitz,print
2000.089,"Shocktoberfest - 3 Disturbing Dramas - Exit Theatre, San Francisco Oct. 21-23, 27-30",poster
2007.063,Vintage poster for LMS Express & Cunard Liner,poster
2017.001.042,"The Story of Jonah, from ""Ten Wood Engravings from the Old Testament""",print
2000.039,Tod Cooper Band,poster
2001.018,Leadership Music 2000 Artist Day Feb. 11,poster
2001.154,Legendary Shack Shakers,poster
1988.036,An Emotion,print
2004.019,A Mountain Man,poster
2017.001.035,Wuthering Heights: Chapter Head,print
2015.037jj,"Point-to-Point, from American Abstract Artists 50th Anniversary Print Portfolio",print
2012.008v,"Untitled, from American Abstract Artists 60th Anniversary Print Portfolio",print
2002.041.001,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin (A few flowers for some friends, with a glance upon the garden)",print
1970.020,Summer Afternoon,print
2001.125,Ricochet,poster
2018.008,Man and Two Wives,print
2001.112,A Classic Blue Grass Experience,poster
2017.001.027,Lumber Yard,print
1982.092,"Russian Language Lesson, from the Revolutions Per Minute (The Art Record)",print
1999.141e,"The Follies of Teaching, from In Praise of Folly (Encomium Moriae)",print
2015.037i,"Composition, from American Abstract Artists 50th Anniversary Print Portfolio",print
2001.174,Bisbee's Comedians,poster
2001.120,"The Mertons ""Girandole""",poster
2001.013,"Phil Ledbetter for President 2000, Candidate on the Independent Dobro Ticket",poster
2003.009,"La Mangia, Siena (also called La Torre Del Mangia, Siena)",poster
2005.002,Hillbilly All Stars,poster
2000.071,"Announcing The Best of Silicon Valley 1999, September 30",poster
2001.182,The Station Inn Presents Mac Wiseman,poster
2000.055,"Proud of your Rooster Show It! Aug 19-29, 1999",poster
1979.0767P,Girl and Dog,print
2003.028,Paul Verlaine,print
2001.060,"Steve Earle and The Dukes November 17, Georgia Theater",poster
1999.152,"Poster for Blue Mountain at City Grocery, Oxford, Mississippi",poster
1982.095,"Vibrations/Metaphors, from the Revolutions Per Minute (The Art Record)",poster
1999.141d,"The Human Comedy, from In Praise of Folly (Encomium Moriae)",print
1957.003,The Four Horsemen,print
1982.080,"Pieces of Sound, from the Revolutions Per Minute (The Art Record)",print
2015.037m,"Drawings, from American Abstract Artists 50th Anniversary Print Portfolio",print
2008.162,The Peristyle,poster
2001.029,"Nickelodeon presents The Third Season of OH YEAH! Cartoons, Created by Fred Seibert",poster
2001.076,"Alison Krauss and Union Station, featuring Jerry Douglas",poster
1988.040,The Right Honourable Henry Fox Esq.,print
1999.155,Poster for Make-Up. Electric Gospel Band and Show in 3 Dimensions at the Lost Nude,poster
2000.058,Bah! Design,poster
2001.151,The One and Only Colleen Black In Her Only Crescent City Performance,poster
1957.046,Two Figures,print
2012.008t,"Letter-Hebrew-1997, from American Abstract Artists 60th Anniversary Print Portfolio",print
2000.011,The Rev. Horton Heat Junior Brown,poster
2001.099,The Mavericks,poster
2001.138,The Bluebird Cafe,poster
2005.014,Astronaut Pushers,poster
2001.040,"Nashville Downtown Partnership Presents Avenue of the Arts, 3rd Saturday Arts Matinee A Walking Tour of Arts Venues along 5th Avenue",poster
2001.086,The Ray Stevens Show,poster
2016.005.16,Vote: Participate in our Democracy,poster
2017.001.047,Dance of Death - Last Rehearsal,print
2000.081,"Bob Delevante Porchlight Record, Dec 3,1999, Hatch Show Print Poster",poster
1999.161,"Poster for Waco Bros. at Schubas, Chicago, Illinois",poster
1999.149,Promotional poster for Dispatch,poster
2001.127,Expectation Denies Discovery,poster
2015.037c,"Big Grey, from American Abstract Artists 50th Anniversary Print Portfolio",print
2012.008dd,"Words on Edge, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008z,"Positions, from American Abstract Artists 60th Anniversary Print Portfolio",print
1999.141h,"The Follies of the Court, from In Praise of Folly (Encomium Moriae)",print
1982.088,"Internal Sound, from the Revolutions Per Minute (The Art Record)",print
2001.113,Vassar Clements and the Little Big Band,poster
2001.142,A Musical Christmas Carol,poster
2017.001.045,New Adam,print
2001.172,"The Ryman presents ""Smoke on the Mountain""",poster
1999.150,Poster for Hootie and the Blowfish,poster
1999.145,Promotional poster for Pete Droge,poster
2017.001.017,Mechano - Marvel of the Age,print
2007.061,Vintage poster for Royal Dutch Airlines,poster
2012.008x,"Two Identical Units Joined Eight Ways, from American Abstract Artists 60th Anniversary Print Portfolio",print
