accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0806P,,Send,0.176,0.363,0.7834441980783444,0.8233555062823356,176,363,1060,1114
1979.0806P,,-,0.378,0.415,0.7834441980783444,0.8233555062823356,378,415,1060,1114
1979.0806P,,the,0.428,0.559,0.7834441980783444,0.8233555062823356,428,559,1060,1114
1979.0806P,,Wheat,0.571,0.818,0.7834441980783444,0.8233555062823356,571,818,1060,1114
1979.0806P,,Meat,0.174,0.359,0.8307464892830746,0.8787878787878788,174,359,1124,1189
1979.0806P,,Fats,0.39,0.544,0.8337028824833703,0.8817442719881744,390,544,1128,1193
1979.0806P,,Sugar,0.584,0.818,0.835920177383592,0.88470066518847,584,818,1131,1197
1979.0806P,,the,0.056,0.198,0.8810051736881005,0.9290465631929047,56,198,1192,1257
1979.0806P,,fuel,0.222,0.404,0.8824833702882483,0.9305247597930525,222,404,1194,1259
1979.0806P,,for,0.421,0.56,0.8832224685883222,0.9312638580931264,421,560,1195,1260
1979.0806P,,Fighters,0.583,0.938,0.88470066518847,0.9334811529933481,583,938,1197,1263
1979.0806P,,UNITED,0.055,0.218,0.9512195121951219,0.9719142645971914,55,218,1287,1315
1979.0806P,,STATES,0.244,0.395,0.9512195121951219,0.9719142645971914,244,395,1287,1315
1979.0806P,,FOOD,0.419,0.539,0.9512195121951219,0.9719142645971914,419,539,1287,1315
1979.0806P,,ADMINISTRATION,0.561,0.942,0.9512195121951219,0.9719142645971914,561,942,1287,1315
1979.0806P,,R,0.561,0.57,0.8558758314855875,0.8603104212860311,561,570,1158,1164
1979.0839P,fr,"Mortade
Le fumeur à la fenêtre.",0.34634634634634637,0.6396396396396397,0.8366564417177914,0.9792944785276073,346,639,1091,1277
1979.0839P,,Mortade,0.34634634634634637,0.4804804804804805,0.8397239263803681,0.8588957055214724,346,480,1095,1120
1979.0839P,,Le,0.35035035035035034,0.3893893893893894,0.963957055214724,0.9792944785276073,350,389,1257,1277
1979.0839P,,fumeur,0.4034034034034034,0.48848848848848847,0.963957055214724,0.9792944785276073,403,488,1257,1277
1979.0839P,,à,0.4954954954954955,0.5065065065065065,0.963957055214724,0.9792944785276073,495,506,1257,1277
1979.0839P,,la,0.5125125125125125,0.5355355355355356,0.963957055214724,0.9792944785276073,512,535,1257,1277
1979.0839P,,fenêtre,0.5425425425425425,0.6286286286286287,0.963957055214724,0.9792944785276073,542,628,1257,1277
1979.0839P,,.,0.6336336336336337,0.6396396396396397,0.963957055214724,0.9792944785276073,633,639,1257,1277
1979.0840P,fr,"14.
L'Enfant gate.
A.0.1",0.321,0.82,0.004796163069544364,0.9568345323741008,321,820,6,1197
1979.0840P,,14,0.498,0.542,0.007993605115907274,0.02717825739408473,498,542,10,34
1979.0840P,,.,0.554,0.568,0.005595523581135092,0.025579536370903277,554,568,7,32
1979.0840P,,L'Enfant,0.322,0.488,0.9200639488409272,0.9544364508393285,322,488,1151,1194
1979.0840P,,gate,0.504,0.582,0.9240607513988809,0.95603517186251,504,582,1156,1196
1979.0840P,,.,0.586,0.592,0.926458832933653,0.95603517186251,586,592,1159,1196
1979.0840P,,A.0.1,0.743,0.82,0.8305355715427658,0.8529176658673061,743,820,1039,1067
1979.0841P,fr,"15.
Nr. Stude
Le Marchand de lunettes.",0.23623623623623624,0.9069069069069069,0.018475750577367205,0.9615088529638183,236,906,24,1249
1979.0841P,,15,0.43543543543543545,0.48848848848848847,0.020015396458814474,0.03926096997690531,435,488,26,51
1979.0841P,,.,0.4874874874874875,0.4994994994994995,0.018475750577367205,0.03849114703618168,487,499,24,50
1979.0841P,,Nr,0.7177177177177178,0.7927927927927928,0.8198614318706697,0.8683602771362586,717,792,1065,1128
1979.0841P,,.,0.7857857857857858,0.8058058058058059,0.8198614318706697,0.8683602771362586,785,805,1065,1128
1979.0841P,,Stude,0.8088088088088088,0.9069069069069069,0.8190916089299461,0.867590454195535,808,906,1064,1127
1979.0841P,,Le,0.23623623623623624,0.2922922922922923,0.9353348729792148,0.9615088529638183,236,292,1215,1249
1979.0841P,,Marchand,0.31431431431431434,0.5195195195195195,0.9353348729792148,0.9615088529638183,314,519,1215,1249
1979.0841P,,de,0.5395395395395396,0.5815815815815816,0.9353348729792148,0.9615088529638183,539,581,1215,1249
