accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1982.088,Lighting,0.54861224,0.25801188,0.7350104,0.14180629,0.8406208,259,736,142,841
1982.089,Pillow,0.61902475,0.029257143,0.980829,0.022201328,0.988044,29,981,22,992
1982.090,Animal,0.69722766,0.31243476,0.47839692,0.66403,0.9364548,312,478,670,945
1982.090,Necklace,0.6008417,0.032097783,0.9909477,0.13979654,0.9345122,32,991,141,943
1982.091,Flower,0.5807622,0.12429611,0.89346576,0.05958369,0.7828396,124,893,60,783
1982.092,Poster,0.5604716,0.06486708,0.92843175,0.06901635,0.925499,65,928,69,927
1982.093,Animal,0.6129058,0.52505493,0.9961488,0.30914497,0.9973958,525,995,311,1002
1982.093,Animal,0.5943952,0.03345308,0.5929634,0.17872232,0.58732396,33,592,180,590
1982.094,Glasses,0.9174442,0.6369328,0.8355572,0.38842604,0.45727894,637,836,389,458
1982.094,Person,0.9133888,0.44536063,0.9925635,0.2205273,0.98472375,445,993,221,986
1982.094,Cowboy hat,0.8779922,0.5620195,0.92691994,0.22144215,0.43170452,562,927,222,432
1982.094,Mule,0.8574793,0.0,0.6816442,0.03981869,0.99470156,0,682,40,996
1982.094,Clothing,0.7027105,0.45229724,0.99709535,0.2879042,0.98908895,452,997,288,990
1982.094,Hat,0.5454958,0.5631191,0.92991585,0.22402698,0.45150852,563,930,224,452
1982.095,Animal,0.5881772,0.028837949,0.47075236,0.053351846,0.9546605,29,471,53,954
1982.096,Necklace,0.65508497,0.3755559,0.64693874,0.018553363,0.32354686,376,647,19,326
1982.100,Person,0.71480036,0.057447284,0.88142836,0.19266355,0.68655205,57,881,192,686
1982.100,Footwear,0.70652634,0.025163189,0.21616997,0.3748869,0.5638699,25,216,375,563
1982.100,Footwear,0.6436773,0.03210068,0.34769857,0.5781465,0.78426003,32,348,578,783
1984.045,House,0.68886685,0.1020158,0.9043526,0.04436244,0.8329914,102,904,53,991
1984.048,Building,0.6363538,0.029317126,0.98660225,0.2970479,0.9953944,99,3339,297,995
1985.007,Animal,0.5908078,0.39870563,0.9758488,0.53352034,0.87515634,543,1329,533,874
1985.014,Building,0.51216954,0.36974362,0.5339522,0.16845058,0.80127,370,534,199,945
1985.019,House,0.79334486,0.13309067,0.4086535,0.24533506,0.60157436,266,816,245,602
1985.019,House,0.7339968,0.46909085,0.92440176,0.16034722,0.67204887,937,1846,160,672
1986.011,Animal,0.6738608,0.094210275,0.8703871,0.26179457,0.6555931,94,870,399,999
1986.012,Bird,0.8042249,0.049868196,0.9429413,0.004470478,0.92416185,50,943,7,1395
1986.019,Picture frame,0.6474046,0.0757501,0.86047894,0.023060076,0.9841141,114,1291,23,984
1986.019,Person,0.5296483,0.28299722,0.7638256,0.0761397,0.9473347,424,1146,76,947
1988.002,Person,0.6500385,0.46003973,0.7549045,0.20403987,0.9338898,694,1138,204,934
1988.002,Person,0.62740016,0.07280043,0.3952453,0.4167336,0.9416306,110,596,417,942
1988.002,Person,0.62609506,0.77493024,0.9757791,0.15746717,0.92810607,1169,1471,157,928
1988.002,Person,0.59922504,0.22676326,0.48695302,0.1990468,0.91511273,342,734,199,915
1988.008,Boat,0.6576772,0.14341234,0.48162532,0.18102597,0.6712664,197,661,181,671
1988.008,Picture frame,0.6311701,0.02349141,0.9705418,0.028568568,0.9541548,32,1333,29,954
1988.008,Boat,0.61217,0.5782203,0.73617166,0.6983145,0.78645056,794,1011,698,786
1988.008,Boat,0.56692547,0.062832214,0.18907431,0.32209387,0.632061,86,260,322,632
1988.017,Cat,0.88601243,0.2675769,0.73633283,0.25154835,0.82741994,158,435,190,625
1988.019,Cat,0.9234501,0.1290976,0.8250546,0.22521561,0.85096484,84,540,121,457
1988.028,Packaged goods,0.73497653,0.0036940982,0.9973958,0.007617284,0.96176666,4,997,11,1338
1988.031,Luggage & bags,0.69934374,0.025883032,0.9798274,0.05636834,0.987789,35,1340,56,987
1988.032,Luggage & bags,0.64391255,0.0,0.9945292,0.0071225762,0.9973958,0,994,11,1521
