Title,Url,yes/no
The Black Church Revisited: Toward a New Millennium DuBoisian Mode of Inquiry,http://socrel.oxfordjournals.org/content/early/2014/09/15/socrel.sru056,
The Influence of Black Church Culture: How Black Church Leaders Frame the HIV/AIDS Discourse,https://irstudies.org/index.php/jirs/article/view/33,
Black Church Giving,http://sgo.sagepub.com/content/3/2/2158244013490706,
"To Educate, Equip, and Empower: Black Church Sponsorship of Tutoring or Literary Programs",http://link.springer.com/article/10.1007/s13644-014-0173-2,
Black Church Electoral and Protest Politics from 2002 to 2012: a Social Media Analysis of the Resistance Versus Accommodation Dialectic,http://link.springer.com/article/10.1007/s12111-013-9263-4,
Is Motherhood Important? Imprisoned Women’s Maternal Experiences Before and During Confinement and Their Postrelease Expectations,http://fcx.sagepub.com/content/9/1/3,
Exiles in a Foreign Land A Comparative Analysis of the Historical Role of Religion for African Americans and Irish Immigrants,http://has.sagepub.com/content/early/2014/12/05/0160597614560567,
"Gary, Indiana: A Tale of Two Cities",,
Youth ministry in the Black church: centered in hope,,
"Where ‘Difference is the Norm’: Exploring Refugee Student Ethnic Identity Development, Acculturation, and Agency at Shaw Academy",http://jrs.oxfordjournals.org/content/early/2014/02/12/jrs.fet050,
"Toward a History of Slavery in Small Places: Agrarian Diversity, Demographic Expansion, and Economic Stability in Fajardo, Puerto Rico, 1812-1838",http://search.proquest.com/socabs/docview/61660431/C6BEB668113C48A1PQ/36?accountid=14816,
The Negro Church: An Introduction,,
"Private Regard, Identity Protection and Perceived Racism among African American Males",http://search.proquest.com/socabs/docview/61760846/C6BEB668113C48A1PQ/37?accountid=14816,
"Observing Privilege: Examining Race, Class, and Gender in Health and Human Service Organizations",,
Mothering While Imprisoned: The Effects of Family and Child Dynamics on Mothering Attitudes,http://onlinelibrary.wiley.com/doi/10.1111/j.1741-3729.2011.00696.x/abstract,
"Competition, Race, and the Measurement of Female Labor Activity",http://search.proquest.com/socabs/docview/60493258/C6BEB668113C48A1PQ/34?accountid=14816,
"Carmichael, Stokely (1941-1998)",,
Blaming-the-Victim Argument,,
"Black sexualities: probing powers, passions, practices, and policies",,
"Book Review: Black Citymakers: How the Philadelphia Negro Changed Urban America, edited by Marcus Anthony Hunter",,
Black Megachurches and Gender Inclusivity,https://www.jstor.org/stable/10.5406/womgenfamcol.3.2.0115,
Review of Resonant Witness: Conversations between Music and Theology,http://www.theorderofsaintluke.com/ojs/index.php/Doxology/article/view/8,
"Mary, Star of Hope: Marian Congregational Song as an Expression of Devotion to the Blessed Virgin Mary in the United States from 1854 to 2010",https://search.proquest.com/docview/1019052710/citation/CB5DBDCA441A40B3PQ/1,
Hymns in Periodcial Literature,,
"'Draw a Wider Circle- or; Perhaps, Erase': Queer(ing) Hymnody 1",,
Sing of Mary:  giving voice to Marian theology and devotion,http://proxy.library.vanderbilt.edu/login?url=http://site.ebrary.com/lib/vanderbilt/Doc?id=11232263,
Letting the Entire Body of Christ Speak. Moving Beyond the Female / Male Binary in Liturgy (Stephanie A. Budwey),https://www.peterlang.com/view/9783034325639/chapter18.xhtml,
From Ambiguity to Variability: Intersex and the Trinity as a Model for Diversity in the Body of Christ,,
Songs of Justice,https://www.bu.edu/sth/news-media/focus-magazine/,
A selected bibliography on liturgy and ecumenism (1990-2009),,
“God is the creator of all life and the energy of this world”: German intersex Christians’ reflection on the image of God and being created in God’s image,https://doi.org/10.1080/13558358.2018.1463643,
60-Second Sermon: 4th Sunday in OT/after Epiphany,https://www.praytellblog.com/index.php/2019/01/28/60-second-sermon-4th-sunday-in-ot-after-epiphany/,
Celebrating the Whole Body of Christ: Moving Beyond Binaries in Liturgy and Hymnody,c`,
Marian Hymnology in the East and West,,
May and Mary,https://congregationalsong.org/may-and-mary/,
I Spirit and Truth: a vision of episcopal worship.,https://catalog.library.vanderbilt.edu/discovery/fulldisplay/WorldCat1228926957/01VAN_INST:vanui,
What We Think is New is in Fact Very Old,https://catalog.library.vanderbilt.edu/discovery/fulldisplay/WorldCat1228926957/01VAN_INST:vanui,
"Tempered Bodies, Tempered Voices: Giving Voice to Queer Creation",,
"Religion and Intersex: perspectives from science, law, culture, and theology.",,
"In spirit and truth: a vision of Episcopal worship / edited by Stephanie Budwey, Kevin Moroney, Sylvia Sweeney, and Samuel Torvend.",,
Über die binäre liturgische Sprache hinausgehen: Ein Plädoyer für inklusive und expansive Sprache (“Moving Beyond Binary Liturgical Language: The Case for Inclusive and Expansive Language”).,,
"Worship, Gender, and Sexuality.",,
Persecution and Polemics: Baptists and the Shaping of the Roger Williams Tradition in the Nineteenth Century,,
"The challenges of Roger Williams : religious liberty, violent persecution, and the Bible",,
Jonathan Edwards for armchair theologians,,
"Sacred scripture, sacred war : the Bible and the American Revolution",,
Baptists in America,http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=34947305&site=ehost-live,
That Old-Time Religion in Modern America: Evangelical Protestantism in the Twentieth Century (Book),http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=14327370&site=ehost-live,
"Before Scopes: Evangelicalism, Education, and Evolution in Tennessee, 1870-1925",http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=22453426&site=ehost-live,
The Baptism of Early Virginia: How Christianity Created Race,http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=95733839&site=ehost-live,
The slave spiritual as apocalyptic discourse,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000856872&site=ehost-live,
College Theology Society and National Association of Baptist Professors of Religion Share Meeting,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001028453&site=ehost-live,
The uneasy center: reformed Christianity in antebellum America,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000338183&site=ehost-live,
"Neither king nor prelate: religion and the new nation, 1776-1826",http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000338180&site=ehost-live,
Fighting for liberty and virtue: political and cultural wars in 18th-century America,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000338182&site=ehost-live,
Disorderly women: sexual politics and evangelicalism in revolutionary New England,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000338181&site=ehost-live,
"Erasmus, the Anabaptists and the Great Commission",http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000366747&site=ehost-live,
Religion in American history: a reader,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000353575&site=ehost-live,
Makers of Christian theology in America,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000353576&site=ehost-live,
Dictionary of heresy trials in American Christianity,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000353577&site=ehost-live,
Plainfield's African-American: from northern slavery to church freedom,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000359639&site=ehost-live,
