qid,label_en,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec
Q104032059,,564CE7E2-DB62-4E2E-B57C-5FA71C09BFCF,Q3174119,15bd89a6485ac95d0cc5a4c763db11c458a702d5,,https://library.artstor.org/#/asset/26758866,c5195ba8-5cec-4734-a46f-183116e73b90,2021-02-01T00:00:00Z,11
Q104032060,,DBB273BC-0883-42E1-B660-21449AA59796,Q3174119,0866576ad6a6c0a9c650be3000bf7e4c10122c3e,,https://library.artstor.org/#/asset/26758867,7d5219c3-86eb-4c0b-9a90-03e779c35665,2021-02-01T00:00:00Z,11
Q104032061,,5B577804-CE0F-47B6-B763-44F801890C42,Q3174119,2c90081253bded3764e2c95c50c31fd21415c61b,,https://library.artstor.org/#/asset/26758868,89705b01-18a9-41a4-a266-deb477c8823f,2021-02-01T00:00:00Z,11
Q104032062,,18558266-F8B9-4747-9DCC-A0AD7E5762E2,Q3174119,79c8858ced796496f2bdd17e44c049f4daf31926,,https://library.artstor.org/#/asset/26758869,5bd3e599-4198-4ceb-aa77-d9543d83cab5,2021-02-01T00:00:00Z,11
Q104032063,,65BF852C-E9C0-4564-B18D-417C3EFC03C1,Q3174119,5b56fa305318eaef664ebf6580f19b822710a2b1,,https://library.artstor.org/#/asset/26758870,35aaf98c-1ded-43b3-8eb3-87a31bc04a2d,2021-02-01T00:00:00Z,11
Q105091565,,7D40225A-6805-4822-96FA-E6AB46D0B5D7,Q29219293,cf831c941d811a00a2530d1fb7205cde8b638b62,,https://library.artstor.org/#/asset/26760200,e7f0a8fa-e9b2-4c2f-bf81-f62b159c1c87,2021-02-01T00:00:00Z,11
Q105091571,,BC20CB34-AE37-40F5-B79D-44EA4DF71794,Q29219293,252d087413bea77cac6dd36584d17bb916193a4b,,https://library.artstor.org/#/asset/26760201,27b3d259-59f6-4e1e-bcfa-0359cc4015cc,2021-02-01T00:00:00Z,11
Q105091769,,649DABFB-27CC-452B-9A1D-3BEF8A4FADA4,Q29219293,0921666c1face42a98fcee185f18f4804d22e253,,https://library.artstor.org/#/asset/26760198,9827a7f6-8847-4f19-8890-602f1abc7722,2021-02-01T00:00:00Z,11
Q105091770,,F5F83152-3C13-4E9D-8BBA-F2273A158749,Q29219293,08211e0944551ceeea902bea1d6f93e32a0e2036,,https://library.artstor.org/#/asset/26760199,37a39ff1-bf5d-42d4-bc67-3c4713eb5ee7,2021-02-01T00:00:00Z,11
Q105091849,,1FE3AA93-2B8A-48B3-9080-F494C2612441,Q105207980,50540980cfb4d3c9a351ac0b169e5b73e55ae2b3,,https://library.artstor.org/#/asset/26759024,cf03f7f4-0888-4a86-b07e-2033b4f636cd,2021-02-01T00:00:00Z,11
Q105091944,,442BF9A4-B8C8-4CD4-927E-665759F5E97C,Q105206589,3b1f9f4fe93cd039237dc78bc70a10ee0823d0a8,,https://library.artstor.org/#/asset/26760180,6ec7ea70-6c3b-4d94-a029-b8b83860f03e,2021-02-01T00:00:00Z,11
Q105091945,,469C6AC4-3E31-4A59-85DD-E19FE00206E6,Q105206589,c54e2b2e21149b2b1a69db5eea7a754ebe1d9f0e,,https://library.artstor.org/#/asset/26760181,1d5b1995-12d2-4f49-9874-bc54ea0cc071,2021-02-01T00:00:00Z,11
Q105091966,,970D0932-86A8-48CA-A4E3-FB7BC83A7ADC,Q67394955,b8c2c4131163d6afb0a81bc7cb38166f3ed499ef,,https://library.artstor.org/#/asset/26760192,cf226829-682d-4c93-9369-2479b54dd299,2021-02-01T00:00:00Z,11
Q105092337,,7983D61F-75A8-4F05-8E3E-4C179EB505BE,Q21466076,9b9336c29874d694ce48bc7afe37319d0d8d3ead,,https://library.artstor.org/#/asset/26754344,0c3653d6-992f-4a7c-bf85-483478399d01,2021-02-01T00:00:00Z,11
Q105095755,,5FEFDB41-BA97-4BAD-B737-04113DAD2E51,Q2734012,61cee488d586ad2f8bbd1919fdcf0db00e352d31,,https://library.artstor.org/#/asset/26753380,64c5d33b-5ea6-4a12-a8d1-edb02d473c90,2021-02-01T00:00:00Z,11
Q105095902,,A5F376BA-CCD7-4F74-AF9E-ADC2DE0ABD07,Q467712,c6b43a46383d9cd32ce6b135f2f7eed33d5ff7b2,,https://library.artstor.org/#/asset/26757707,d6fa08a5-d8c2-4542-a306-f165b1d35f23,2021-02-01T00:00:00Z,11
Q105095925,,543F9AC0-760C-4AFD-8A8B-8EBA71E4CE9D,Q12278090,bc4bf36ee8b4ef995ffd71ea984b4cd7f376ba1f,,https://library.artstor.org/#/asset/26754358,34a0f7cb-d685-46a3-950d-f1b050dd6847,2021-02-01T00:00:00Z,11
Q105095928,,57F1CC7C-60AC-45EC-84D0-F5983F43F72E,Q1241113,f220f849699c7b13b06ecfb4fa2474c54d9c9b74,,https://library.artstor.org/#/asset/26757897,361247a0-5a44-41fd-aa4e-af32abccc062,2021-02-01T00:00:00Z,11
Q105096044,,A3A70D9B-D77C-4E96-B1CF-CB80C26489E7,Q11172645,031bad9b990c612f58768ca8fb7765d0cdfdece1,,https://library.artstor.org/#/asset/26755709,e21aee6f-6101-4bc9-92c0-3c8c5c56d226,2021-02-01T00:00:00Z,11
Q105096094,,00B3C6FF-B584-4335-93F7-221B31A4A561,Q433804,bf44243ac9617002e7f4c2384addd7f52a0b9039,,https://library.artstor.org/#/asset/26756240,3fcc9673-87fa-43ef-99ca-dc92779f5dad,2021-02-01T00:00:00Z,11
