qid,searched,last_first,description,name,creator_string
,,"Bolswert, Schelte","Dutch painter and engraver, ca. 1586-1659",Schelte Bolswert,"[""Bolswert, Schelte (Dutch painter and engraver, ca. 1586-1659)""]"
,,"Bonfils, Susan",,Susan Bonfils,"[""Bonfils, Susan""]"
,,"Bong, Woo",ca. 1948,Woo Bong,"[""Bong, Woo (ca. 1948)""]"
,,"Bonifacio, Alfonso Gomez",1933-2011,Alfonso Gomez Bonifacio,"[""Bonifacio, Alfonso Gomez (1933-2011)""]"
,,"Boothe, Power Robert","American painter, born 1945",Power Robert Boothe,"[""Boothe, Power Robert (American painter, born 1945)""]"
,,"Boretz, Naomi","American painter, active 20th century",Naomi Boretz,"[""Boretz, Naomi (American painter, active 20th century)""]"
,,"Bosboom, Johannes","Dutch artist, 1817-1891",Johannes Bosboom,"[""Bosboom, Johannes (Dutch artist, 1817-1891)""]"
,,"Bosse, Abraham","French printmaker, 1602-1676",Abraham Bosse,"[""Bosse, Abraham (French printmaker, 1602-1676)"",""Bosse, Abraham (1602/04-1676)""]"
,,"Bossi, Benignio and Mazzuoli, Francesco",,Benignio Bossi,"[""Bossi, Benignio and Mazzuoli, Francesco""]"
,,"Both, Jan","Dutch painter, ca. 1618-1652",Jan Both,"[""Both, Jan (Dutch painter, ca. 1618-1652)""]"
,,"Bouleau, Charles",1906-1987,Charles Bouleau,"[""Bouleau, Charles (1906-1987)""]"
,,"Bourdelle, Emile-Antoine","French sculptor, 1861-1929",Emile-Antoine Bourdelle,"[""Bourdelle, Emile-Antoine (French sculptor, 1861-1929)""]"
,,"Bourgeois, Louise","French-American sculptor, 1911-2010",Louise Bourgeois,"[""Bourgeois, Louise (French-American sculptor, 1911-2010)""]"
,,"Bourne, Jean-Baptiste-Clement",1844-1866,Jean-Baptiste-Clement Bourne,"[""Bourne, Jean-Baptiste-Clement (1844-1866)""]"
,,Bouslough,,Bouslough,"[""Bouslough""]"
,,"Boyd-Smith, E.","British draftsman, 1860-1943",E. Boyd-Smith,"[""Boyd-Smith, E. (British draftsman, 1860-1943)""]"
,,"Boyle, Keith","American painter, born 1930",Keith Boyle,"[""Boyle, Keith (American painter, born 1930)""]"
,,"Boynton, James W.","1928-2010, born Fort Worth, TX, died Houston, TX",James W. Boynton,"[""Boynton, James W.  (1928-2010, born Fort Worth, TX, died Houston, TX)""]"
,,"Boyse, William H.",,William H. Boyse,"[""Boyse, William H.""]"
,,"Boysen, William H.",,William H. Boysen,"[""Boysen, William H.""]"
,,"Brach, Paul Henry","American painter, 1924-2007",Paul Henry Brach,"[""Brach, Paul Henry (American painter, 1924-2007)""]"
,,"Bracker, M. Leone","American illustrator, 1885-1937",M. Leone Bracker,"[""Bracker, M. Leone (American illustrator, 1885-1937)""]"
,,"Bracony, Armand Etienne",1825-1894,Armand Etienne Bracony,"[""Bracony, Armand Etienne (1825-1894)""]"
,,"Bracquemond, Félix","French painter, etcher, and ceramicist, 1833-1914",Félix Bracquemond,"[""Bracquemond, Félix (French painter, etcher, and ceramicist, 1833-1914)""]"
,,"Bracquemond, Pierre","French painter, 1870-1926",Pierre Bracquemond,"[""Bracquemond, Pierre (French painter, 1870-1926)""]"
,,"Bradley, Marvin",,Marvin Bradley,"[""Bradley, Marvin""]"
,,"Bramer, Leonard","Dutch painter and printmaker, 1596-1674",Leonard Bramer,"[""Bramer, Leonard (Dutch painter and printmaker, 1596-1674)""]"
,,"Brangwyn, Frank","English painter and graphic artist, 1867-1956",Frank Brangwyn,"[""Brangwyn, Frank (English painter and graphic artist, 1867-1956)""]"
,,"Branolt, Gernot",,Gernot Branolt,"[""Branolt, Gernot""]"
,,"Branson, Bernice M.",1882-1936,Bernice M. Branson,"[""Branson, Bernice M. (1882-1936)""]"
,,"Braque, Georges","French painter, sculptor, and draftsman, 1882-1963",Georges Braque,"[""Braque, Georges (French painter, sculptor, and draftsman, 1882-1963)""]"
,,"Brees, S. C. and Harden, S. Melville","1832-1837, 1837-1879",S. C. Brees,"[""Brees, S. C. and Harden, S. Melville (1832-1837, 1837-1879 )""]"
,,"Bregeon, Angélique",1743-1782,Angélique Bregeon,"[""Bregeon, Angélique (1743-1782)""]"
,,"Breker, Arno","German sculptor, 1900-1991",Arno Breker,"[""Breker, Arno (German sculptor, 1900-1991)""]"
,,"Brethouwer, Harmen","1960-, born Aalten, Netherlands",Harmen Brethouwer,"[""Brethouwer, Harmen (1960-, born Aalten, Netherlands)""]"
,,"Brockhurst, Gerald L.","British painter and printmaker, 1890-1978, active in United States",Gerald L. Brockhurst,"[""Brockhurst, Gerald L. (British painter and printmaker, 1890-1978, active in United States)""]"
,,"Broner, Erwin","Spanish architect, 1898-1971",Erwin Broner,"[""Broner, Erwin (Spanish architect, 1898-1971)""]"
,,"Brown, Clinton",,Clinton Brown,"[""Brown, Clinton ""]"
,,"Brown, Henry","1965-, born Washington, D.C.",Henry Brown,"[""Brown, Henry (1965-, born Washington, D.C.)""]"
,,"Brown, Marvin P.","American painter, educator, born 1943",Marvin P. Brown,"[""Brown, Marvin P. (American painter, educator, born 1943)""]"
,,"Browne, George Elmer","American painter, 1871-1946",George Elmer Browne,"[""Browne, George Elmer (American painter, 1871-1946)""]"
,,"Bru, Roser","Spanish painter and engraver, born 1923, active in Chile",Roser Bru,"[""Bru, Roser (Spanish painter and engraver, born 1923, active in Chile)""]"
,,"Bruegel, Pieter, I","Flemish painter, ca. 1525-1569",Pieter Bruegel,"[""Bruegel, Pieter, I (Flemish painter, ca. 1525-1569) (after)""]"
,,"Bruyn, Nicolaes de","Flemish painter, engraver, and dealer, 1571-1656",Nicolaes de Bruyn,"[""Bruyn, Nicolaes de (Flemish painter, engraver, and dealer, 1571-1656)""]"
,,"Bryant, Edan M.","1978-, born Nashville, TN",Edan M. Bryant,"[""Bryant, Edan M. (1978-, born Nashville, TN)"", ""Bryant, Edan M. 1978, born Nashville, TN)"",""Bryant, Edan M., (1978-, born Nashville, TN)"",""Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)""]"
,,"Bryant, Olen","1927-2017, born Cookeville, TN",Olen Bryant,"[""Bryant, Olen (1927-2017, born Cookeville, TN)""]"
,,Bryce McCloud,"1975, born Nashville, TN",Bryce McCloud,"[""Bryce McCloud (1975, born Nashville, TN)""]"
,,"Buchner, Hans","1856-1941, born Stuttgart, Germany, died Munich",Hans Buchner,"[""Buchner, Hans (1856-1941, born Stuttgart, Germany, died Munich)""]"
,,Bunbury and Gardiner,,Bunbury,"[""Bunbury and Gardiner""]"
,,"Burden, Chris","American sculptor, performance artist, and installation artist, born 1946",Chris Burden,"[""Burden, Chris (American sculptor, performance artist, and installation artist, born 1946)""]"
,,"Burg, Patricia Jean","Canadian artist, born 1934",Patricia Jean Burg,"[""Burg, Patricia Jean (Canadian artist, born 1934)""]"
,,"Burke, G.",,G. Burke,"[""Burke, G.""]"
,,"Burlyuk, David","Ukrainian painter and writer, 1882-1967, active in the United States",David Burlyuk,"[""Burlyuk, David (Ukrainian painter and writer, 1882-1967, active in the United States)""]"
,,"Burn, Bruce",,Bruce Burn,"[""Burn, Bruce""]"
,,"Burnet, John","Scottish engraver, painter, and writer, 1784-1868",John Burnet,"[""Burnet, John (Scottish engraver, painter, and writer, 1784-1868)""]"
,,"Bury, Pol","Belgian painter, sculptor, and graphic artist, 1922-2005",Pol Bury,"[""Bury, Pol (Belgian painter, sculptor, and graphic artist, 1922-2005)""]"
,,"Bury, Thomas Talbot","English architect and painter, 1811-1877",Thomas Talbot Bury,"[""Bury, Thomas Talbot (English architect and painter, 1811-1877)"",""Bury, Thomas Talbot (1811-1877) and Pyall, H. (active ca. 1833)"",""Bury, Thomas Talbot and Pyall, Henry""]"
,,"Bush, Charles Green","American draftsman, caricaturist, and woodcutter, 1842-1909",Charles Green Bush,"[""Bush, Charles Green (American draftsman, caricaturist, and woodcutter, 1842-1909)""]"
,,"Bush, Claire","1933-, born Pocono Lake, PA",Claire Bush,"[""Bush, Claire (1933-, born Pocono Lake, PA)""]"
,,"Bushnell, Kenneth Wayne","American painter, designer, and scenographer, born 1933",Kenneth Wayne Bushnell,"[""Bushnell, Kenneth Wayne (American painter, designer, and scenographer, born 1933)""]"
,,"Büsinck, Ludwig","German painter and wood engraver, born ca. 1590",Ludwig Büsinck,"[""Büsinck, Ludwig (German painter and wood engraver, born ca. 1590)""]"
,,"Busing, Ludolph","German painter, born 1599 or 1602, died 1669",Ludolph Busing,"[""Busing, Ludolph (German painter, born 1599 or 1602, died 1669)""]"
,,"Butcher, Nick","1980-, born Dyersburg, TN",Nick Butcher,"[""Butcher, Nick (1980-, born Dyersburg, TN)""]"
,,"Butler, John F.",1890-1976,John F. Butler,"[""Butler, John F. (1890-1976)""]"
,,"Butler, Mary","American painter, 1865-1946",Mary Butler,"[""Butler, Mary (American painter, 1865-1946)""]"
