RecordNumber,CopyrightStatement,filename,iri
55634,http://commons.wikimedia.org/wiki/File:Apostasialogo.jpg,Apostasialogo.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Apostasialogo.jpg
54761,http://commons.wikimedia.org/wiki/File:Applikationsbild_aus_Gotteszell.jpg,Applikationsbild_aus_Gotteszell.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Applikationsbild_aus_Gotteszell.jpg
55361,http://commons.wikimedia.org/wiki/File:Appointment_of_a_prisoner_with_his_family.jpg,Appointment_of_a_prisoner_with_his_family.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Appointment_of_a_prisoner_with_his_family.jpg
55703,http://commons.wikimedia.org/wiki/File:Apuleius_advises_the_use_of_demons_as_mediators_between_mankind_and_the_gods.jpg,Apuleius_advises_the_use_of_demons_as_mediators_between_mankind_and_the_gods.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Apuleius_advises_the_use_of_demons_as_mediators_between_mankind_and_the_gods.jpg
55609,http://commons.wikimedia.org/wiki/File:Aquileia_Basilica_-_Ausgrabungen_Mosaik_10.jpg,Aquileia_Basilica_-_Ausgrabungen_Mosaik_10.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aquileia_Basilica_-_Ausgrabungen_Mosaik_10.jpg
55707,http://commons.wikimedia.org/wiki/File:Arm_und_Reich_(fl%C3%A4misch_17_Jh).jpg,Arm_und_Reich_(fl%C3%A4misch_17_Jh).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Arm_und_Reich_(fl%C3%A4misch_17_Jh).jpg
55310,http://commons.wikimedia.org/wiki/File:Armenian_Medieval_Miniature.jpg,Armenian_Medieval_Miniature.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Armenian_Medieval_Miniature.jpg
55373,http://commons.wikimedia.org/wiki/File:Art-nf468452.fig11.jpg,Art-nf468452.fig11.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Art-nf468452.fig11.jpg
54934,http://commons.wikimedia.org/wiki/File:Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project-Adjust.jpg,Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project-Adjust.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Artemisia_Gentileschi_-_Giuditta_decapita_Oloferne_-_Google_Art_Project-Adjust.jpg
54272,http://commons.wikimedia.org/wiki/File:AshburnPenatuchtFolio076rMosesReceivingLaw.jpg,AshburnPenatuchtFolio076rMosesReceivingLaw.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AshburnPenatuchtFolio076rMosesReceivingLaw.jpg
55432,http://commons.wikimedia.org/wiki/File:Assisi-frescoes-entry-into-jerusalem-pietro_lorenzetti.jpg,Assisi-frescoes-entry-into-jerusalem-pietro_lorenzetti.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Assisi-frescoes-entry-into-jerusalem-pietro_lorenzetti.jpg
55200,http://commons.wikimedia.org/wiki/File:Assistants_and_George_Frederic_Watts_-_Hope_-_Google_Art_Project.jpg,Assistants_and_George_Frederic_Watts_-_Hope_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Assistants_and_George_Frederic_Watts_-_Hope_-_Google_Art_Project.jpg
