qid,label_en,instance_of_uuid,instance_of
Q109408524,Revisiting Forgiveness as a Pastoral Theological “Problem”,FDD5F1F2-037A-4DFF-9F6E-D6754DAFA97B,Q18918145
Q109408525,On Getting away with It: Jesus and the Temptation in the Desert,2C37195A-F958-4331-88B8-020B33CCAE55,Q18918145
Q109408526,The Memory of Feeling: Envy and Happiness,0FB9A616-0DD4-4419-AFF1-E303D03FD910,Q18918145
Q109408527,A Review of Kirk A. Bingaman’s The Power of Neuroplasticity for Pastoral and Spiritual Care,C71C3287-22D1-454D-9372-EA1900DCC27E,Q18918145
Q109408527,A Review of Kirk A. Bingaman’s The Power of Neuroplasticity for Pastoral and Spiritual Care,a938c246-4f45-29a5-2205-259416ad4c61,Q637866
Q109408528,Getting it Write: On the Craft of Academic Writing,0004F317-9615-4B73-B8B3-A15AF2D00849,Q18918145
Q109408530,"The Organ of Tactility: Fantasy, Image, and Male Masturbation",7FF211C8-6FB0-4444-BCEF-F8C3A0DBD13F,Q18918145
Q109408531,The Living Human Web: A Twenty-five Year Retrospective,07FDBAE0-CB46-4628-8786-465E5788441B,Q18918145
Q109408533,“I’m the King of Debt”: Pastoral Reflections on Debt in the Age of Trump,EA43AB76-E6C7-49FD-8A66-25723289AA0B,Q18918145
Q109408534,The Psychodynamics of Conversion: Winnicottian Perspectives on the Transformation of Job,EC9807B9-D783-426F-B89F-5E1A31E981ED,Q18918145
Q109408535,Toys: a Man Has His Reasons. Winnicottian Perspectives on the Playing of Men,8F59948A-F27A-40A4-8420-78B176D6C3E0,Q18918145
Q109408536,The Least of These: Black Church Children’s and Youth Outreach Efforts,9D5FC314-999D-4317-9015-B0824BC0F35D,Q18918145
Q109408537,"Theological, Denominational, and Organizational Influences on Ecumenical Involvement between Black and White Churches",D62A484E-87E5-43E9-91D0-9D6CD22A9EF4,Q18918145
Q109408538,Black Megachurches: Social Gospel Usage and Community Empowerment,D6354332-4A67-4FB7-B7FB-CB0F794324B7,Q18918145
Q109408540,Black Church Electoral and Protest Politics from 2002 to 2012: a Social Media Analysis of the Resistance Versus Accommodation Dialectic,2F7F22FE-8E85-4D33-89D0-3DF3A856902B,Q18918145
Q109408541,"To Educate, Equip, and Empower: Black Church Sponsorship of Tutoring or Literary Programs",6C1B3A4A-CED5-4A8F-BE5A-A0C8E4841A46,Q18918145
Q109408542,Interprofessional Simulation for Nursing and Divinity Students: Learning Beyond Checklists,03183109-2812-4B2D-923A-DCBD788B056D,Q18918145
Q109408544,"Too Poor to Get Sick? The Implications of Place, Race, and Costs on the Health Care Experiences of Residents in Poor Urban Neighborhoods",F47064FA-8D63-43FB-9FF3-93AEA9E75BFF,Q21481766
