accession_number,mid,description,score,topicality
1968.002,/m/03gq5hm,Font,0.71869135,0.71869135
1968.002,/m/01kr8f,Illustration,0.69180804,0.69180804
1968.002,/m/0p9xx,Visual arts,0.688018,0.688018
1968.002,/m/0fx80y,Plucked string instruments,0.67296463,0.67296463
1968.002,/m/08v4gh,Vintage clothing,0.65913016,0.65913016
1968.012,/m/0j62f,Rectangle,0.86192274,0.86192274
1968.012,/m/083vt,Wood,0.86001605,0.86001605
1968.012,/m/0jjw,Art,0.81023705,0.81023705
1968.012,/m/05qdh,Painting,0.80136275,0.80136275
1968.012,/m/0244x1,Gesture,0.80022526,0.80022526
1968.012,/m/06z37_,Picture frame,0.7838671,0.7838671
1968.012,/m/02q_bfg,Tints and shades,0.75894946,0.75894946
1968.012,/m/0p9xx,Visual arts,0.68498707,0.68498707
1968.012,/m/06ht1,Room,0.6288361,0.6288361
1968.012,/m/016nqt,Twig,0.60131115,0.60131115
1969.005,/m/019swr,Knee,0.85370654,0.85370654
1969.005,/m/0jjw,Art,0.8113532,0.8113532
1969.005,/m/0244x1,Gesture,0.7945119,0.7945119
1969.005,/m/01vm1p,Elbow,0.79131013,0.79131013
1969.005,/m/03gq5hm,Font,0.78427786,0.78427786
1969.005,/m/09w5r,Human leg,0.7303597,0.7303597
1969.005,/m/02csf,Drawing,0.70833486,0.70833486
1969.005,/m/0dzdr,Chest,0.6720504,0.6720504
1969.005,/m/04sk75,Figure drawing,0.66130275,0.66130275
1969.005,/m/0p9xx,Visual arts,0.6560108,0.6560108
1969.007,/m/02dl1y,Hat,0.88407546,0.88407546
1969.007,/m/062581,Sleeve,0.8678369,0.8678369
1969.007,/m/07_gml,Working animal,0.8496153,0.8496153
1969.007,/m/03gq5hm,Font,0.8002081,0.8002081
1969.007,/m/0jjw,Art,0.741025,0.741025
1969.007,/m/0j62f,Rectangle,0.6653513,0.6653513
1969.007,/m/0p9xx,Visual arts,0.657605,0.657605
1969.007,/m/08v4gh,Vintage clothing,0.63243484,0.63243484
