qid,accession_number,dimension,type,label,creator,inception_val,inception_earliest_date_val,inception_latest_date_val,style_period,rights,media_url,status
Q103301237,1978.100,2D,artists book,Hitsuyu,Q4233718,1898-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754142/representation-view,inception prior to copyright cutoff
Q105095963,1978.119,2D,artists book,Hyakunin Isshu,,1776-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754161/representation-view,inception prior to copyright cutoff
Q103301423,1978.051,2D,artists book,Ikkyu Gaikotsu (The Teaching of Skeletons by Ikkyu),Q467613,1800-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754093/representation-view,inception prior to copyright cutoff
Q103301640,,2D,artists book,"Instructions and Examples for Creating Gardens with Miniature Hills, Vol. II (bound book)",,,,,,,,
Q102966478,2004.067,2D,artists book,Irish,Q168587,1997-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26759039/representation-view,inception was after copyright cutoff
Q103301689,1978.154,2D,artists book,Isame Gusa (Four volumes bound together),Q4233718,1707-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754196/representation-view,inception prior to copyright cutoff
Q106577352,1978.072,2D,artists book,Itso Hyakutai (A Hundred Figures in a Single Sweep),Q3130609,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754114/representation-view,artist died before copyright cutoff
Q106577354,1978.124,2D,artists book,Jitpeishya Ikku Hizakurige,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754166/representation-view,assessed to be out of copyright
Q105095905,,2D,artists book,Joaquim Gomis:  La Poétique de la Modernité (Dedicated book),,,,,,,,
Q105095902,,2D,artists book,"José Luis Sert: Architecture, City Planning, Urban Design (Dedicated book)",,,,,,,,
Q105091883,,2D,artists book,Josep Lluis Sert: Arquitectura y Diseño Urbano: Trabajo en Equipo (Dedicated book),,,,,,,,
