qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q103310925,2008.107.jpg,2008.107,primary,,,55,499,410,2010-02-24,2008
Q103301102,2008.108.jpg,2008.108,primary,,,59,497,410,2010-02-24,2008
Q104032308,2008.109.jpg,2008.109,primary,,,55,498,412,2010-02-24,2008
Q104032309,2008.110.jpg,2008.110,primary,,,56,499,412,2010-02-24,2008
Q103307826,2008.111.jpg,2008.111,primary,,,52,497,410,2010-02-24,2008
Q104032717,2008.112.jpg,2008.112,primary,,,48,497,411,2010-02-24,2008
Q103551075,2008.113.jpg,2008.113,primary,,,43,412,499,2010-02-24,2008
Q104032127,2008.114.jpg,2008.114,primary,,,54,499,411,2010-02-24,2008
Q104032720,2008.115.jpg,2008.115,primary,,,59,497,411,2010-02-24,2008
Q104032129,2008.116.jpg,2008.116,primary,,,53,499,411,2010-02-24,2008
Q104032730,2008.117.jpg,2008.117,primary,,,56,500,411,2010-02-24,2008
Q104032731,2008.118.jpg,2008.118,primary,,,55,500,410,2010-02-24,2008
Q103299305,2008.119.jpg,2008.119,primary,,,58,497,411,2010-02-24,2008
Q103297090,2008.120.jpg,2008.120,primary,,,69,496,411,2010-02-24,2008
Q104032736,2008.121.jpg,2008.121,primary,,,52,411,498,2010-02-24,2008
Q104032732,2008.122.jpg,2008.122,primary,,,46,411,498,2010-02-24,2008
Q104032733,2008.123.jpg,2008.123,primary,,,54,412,497,2010-02-24,2008
Q104032734,2008.124.jpg,2008.124,primary,,,54,411,497,2010-02-24,2008
Q103310919,2008.125.jpg,2008.125,primary,,,52,498,411,2010-02-24,2008
Q104032002,2008.126.jpg,2008.126,primary,,,60,411,497,2010-02-24,2008
Q104032003,2008.127.jpg,2008.127,primary,,,66,411,497,2010-02-24,2008
Q103550989,2008.128.jpg,2008.128,primary,,,65,411,497,2010-02-24,2008
Q103551057,2008.129.jpg,2008.129,primary,,,54,412,498,2010-02-24,2008
Q103551052,2008.130.jpg,2008.130,primary,,,55,412,499,2010-02-24,2008
Q104032107,2008.131.jpg,2008.131,primary,,,69,412,499,2010-02-24,2008
Q104032109,2008.132.jpg,2008.132,primary,,,75,409,499,2010-02-24,2008
Q104032112,2008.133.jpg,2008.133,primary,,,75,410,498,2010-02-24,2008
Q103305511,2008.134.jpg,2008.134,primary,,,51,497,410,2010-02-24,2008
Q103551137,2008.135.jpg,2008.135,primary,,,61,411,497,2010-02-24,2008
Q103550968,2008.136.jpg,2008.136,primary,,,69,410,498,2010-02-24,2008
Q103312367,2008.137.jpg,2008.137,primary,,,60,497,410,2010-02-24,2008
Q104031990,2008.138.jpg,2008.138,primary,,,95,498,410,2010-02-24,2008
Q104031991,2008.139.jpg,2008.139,primary,,,69,498,410,2010-02-24,2008
Q103551097,2008.140.jpg,2008.140,primary,,,58,410,498,2010-02-24,2008
Q103300201,2008.141.jpg,2008.141,primary,,,54,495,407,2010-02-24,2008
Q103550975,2008.142.jpg,2008.142,primary,,,80,407,498,2010-02-24,2008
Q103551049,2008.143.jpg,2008.143,primary,,,69,407,497,2010-02-24,2008
Q103551140,2008.144.jpg,2008.144,primary,,,53,407,493,2010-02-24,2008
Q103550914,2008.145.jpg,2008.145,primary,,,75,407,496,2010-02-24,2008
Q103550897,2008.146.jpg,2008.146,primary,,,47,406,496,2010-02-24,2008
Q103296862,2008.147.jpg,2008.147,primary,,,45,497,406,2010-02-24,2008
Q103551098,2008.148.jpg,2008.148,primary,,,56,407,494,2010-02-24,2008
Q103550982,2008.149.jpg,2008.149,primary,,,56,406,496,2010-02-24,2008
Q103551073,2008.150.jpg,2008.150,primary,,,67,406,495,2010-02-24,2008
Q103309027,2008.151.jpg,2008.151,primary,,,74,493,406,2010-02-24,2008
Q103551108,2008.152.jpg,2008.152,primary,,,68,406,494,2010-02-24,2008
Q103307152,2008.153.jpg,2008.153,primary,,,57,495,407,2010-02-24,2008
Q104030938,2008.154.jpg,2008.154,primary,,,54,495,406,2010-04-29,2008
Q104030939,2008.155.jpg,2008.155,primary,,,67,495,406,2010-04-29,2008
Q103297306,2008.156.jpg,2008.156,primary,,,53,494,405,2010-04-29,2008
Q102975276,2008.157.tif,2008.157,primary,,,41742,3161,4505,2009-11-23,2008
Q103301806,2008.158.jpg,2008.158,suppress,,,125,500,332,2010-07-28,2008
Q103301806,2008.158.TIF,2008.158,primary,,,17646,3008,2000,2010-07-28,2008
Q102970912,2008.159.jpg,2008.159,primary,,,65,638,393,2008-08-07,2008
Q102962924,2008.160.jpg,2008.160,primary,,,58,639,387,2008-08-07,2008
Q102968165,2008.161.jpg,2008.161,primary,,,53,638,383,2008-08-07,2008
Q102974664,2008.162.jpg,2008.162,primary,,,43,638,432,2008-08-07,2008
Q102974077,2008.163.jpg,2008.163,primary,,,43,638,380,2008-08-07,2008
Q106582604,2008.164.jpg,2008.164,suppress,,,248,500,493,2010-01-21,2008
Q106582604,2008.164.tif,2008.164,primary,,,17704,2475,2437,2010-01-21,2008
Q103308630,2008.165.tif,2008.165,primary,,,51984,4917,3607,2009-11-23,2008
Q104032825,2009.001a.tif,2009.001a,primary,,,10267,3919,2675,2008-10-07,2009
Q104032825,2009.001a.jpg,2009.001a,suppress,,,96,504,344,2010-02-24,2009
Q104032826,2009.001aa.jpg,2009.001aa,suppress,,,69,504,389,2010-02-24,2009
Q104032826,2009.001aa.tif,2009.001aa,primary,,,5912,2794,2159,2008-11-07,2009
Q104032827,2009.001b.tif,2009.001b,primary,,,10270,3919,2675,2008-10-07,2009
Q104032827,2009.001b.jpg,2009.001b,suppress,,,128,504,344,2010-02-24,2009
Q104032828,2009.001bb.tif,2009.001bb,primary,,,5912,2794,2159,2008-11-07,2009
Q104032828,2009.001bb.jpg,2009.001bb,suppress,,,70,504,389,2010-02-24,2009
Q104032829,2009.001c.tif,2009.001c,primary,,,5912,2159,2794,2008-11-07,2009
Q104032829,2009.001c.jpg,2009.001c,suppress,,,90,390,504,2010-02-24,2009
Q104032831,2009.001cc.tif,2009.001cc,primary,,,5912,2794,2159,2008-11-07,2009
