RecordNumber,ImageLink,file_url
28142,214,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000214.jpg
28143,221,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000221.jpg
28144,220,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000220.jpg
28145,219,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000219.jpg
28146,218,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000218.jpg
28147,207,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000207.jpg
28148,213,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000213.jpg
28319,228,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000228.jpg
28332,1,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000001.jpg
28333,32,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000032.jpg
28337,36,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000036.jpg
28338,37,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000037.jpg
29198,1184,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001184.jpg
29202,1178,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001178.jpg
29203,1179,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001179.jpg
29204,1180,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001180.jpg
29205,1181,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001181.jpg
29206,1182,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001182.jpg
29207,1183,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001183.jpg
29208,1185,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001185.jpg
29209,1186,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001186.jpg
29210,1187,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001187.jpg
29211,1188,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001188.jpg
29212,1189,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001189.jpg
29213,1190,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001190.jpg
29214,1191,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001191.jpg
29215,1193,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001193.jpg
29216,1194,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001194.jpg
29217,1195,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001195.jpg
29218,1196,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001196.jpg
29219,1197,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001197.jpg
29220,1198,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001198.jpg
29221,1199,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001199.jpg
29222,1200,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001200.jpg
29224,1203,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001203.jpg
29225,1204,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001204.jpg
29226,1205,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001205.jpg
29227,1206,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001206.jpg
29228,1207,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001207.jpg
29229,1208,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001208.jpg
29230,1209,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001209.jpg
29231,1210,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001210.jpg
29232,1211,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001211.jpg
29233,1212,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001212.jpg
29234,1213,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001213.jpg
29235,1214,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001214.jpg
29236,1215,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001215.jpg
29237,1217,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001217.jpg
29238,1218,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001218.jpg
29239,1219,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001219.jpg
29240,1220,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001220.jpg
