,accession_number,language,ratio,partial_ratio,sort_ratio,set_ratio,w_ratio
415,1989.029,nl,6,33,6,6,40
416,1989.030,nl,3,67,3,3,40
417,1989.031,nl,2,33,7,7,38
418,1989.032,fr,24,27,32,32,32
419,1989.033,en,12,50,14,15,30
420,1989.039,fr,3,67,3,3,40
421,1989.040,de,0,0,25,25,60
422,1991.006,fa,14,14,14,14,14
423,1991.007,und,9,25,14,16,23
424,1992.081,und,0,0,2,2,15
425,1992.082,da,3,12,6,7,17
426,1992.083,und,0,0,3,4,19
427,1992.084,und,0,0,6,7,18
428,1992.085,und,0,0,6,7,13
429,1992.086,und,0,0,5,6,18
430,1992.087,und,1,10,4,5,17
431,1992.088,fr,13,29,21,23,37
432,1992.089,und,1,9,5,6,21
433,1992.090,und,2,6,8,9,26
434,1992.091,und,0,0,3,4,11
435,1992.092,und,0,0,4,5,17
436,1992.093,und,0,0,4,5,17
437,1992.094,und,0,0,2,2,12
438,1992.095,und,0,0,2,2,10
439,1992.096,ar,1,5,5,6,22
440,1992.097,und,0,0,1,1,12
441,1992.098,und,8,17,14,17,30
442,1992.099,und,0,0,4,4,17
443,1992.101,zh,4,6,16,16,23
444,1992.102,und,6,11,15,15,27
445,1992.103,zh,0,0,7,7,14
446,1992.104,und,3,6,19,19,23
447,1992.105,und,0,0,5,5,15
448,1992.106,und,3,11,14,14,25
449,1992.107,und,8,7,33,33,35
450,1992.112,und,14,19,30,30,32
451,1992.113,und,4,4,23,23,23
452,1992.114,und,0,0,0,0,0
453,1992.117,und,6,6,17,16,19
454,1992.134,zh,2,67,2,2,40
455,1992.137,zh,4,4,17,17,19
456,1992.139 a-c,und,4,4,26,27,30
457,1992.140,ar,8,8,19,19,22
458,1992.141,zh,0,0,19,18,20
459,1992.143,und,0,0,3,3,10
460,1992.256,und,2,6,13,13,25
461,1992.257,und,7,12,18,18,25
462,1992.259,en,52,54,68,81,77
463,1992.262,und,13,24,26,28,32
464,1992.263,und,6,7,16,16,16
465,1992.264,zh,6,7,16,16,16
466,1992.310,zh,8,9,20,21,22
467,1992.311,und,9,12,24,23,27
468,1992.312,zh,2,3,9,10,13
469,1992.313,ja,5,4,21,20,26
470,1992.314,ja,2,4,17,15,22
471,1992.315,zh,5,8,12,13,19
472,1992.316,zh,6,7,20,21,21
473,1992.317,ja,3,7,8,9,19
474,1992.318,zh,5,10,8,8,13
475,1992.319,und,16,17,27,25,86
476,1992.320,und,11,10,33,33,36
477,1992.321,zh,18,21,36,34,38
478,1992.322,zh,10,9,28,30,31
479,1992.325,zh,0,0,16,17,29
480,1992.326,zh,3,7,11,12,24
481,1992.327,zh,0,0,25,26,34
482,1992.328,zh,3,8,17,18,34
483,1992.329,zh,3,6,18,19,25
484,1992.401,en,18,33,22,22,40
485,1992.403,und,10,23,13,13,30
486,1992.405,zh,0,0,0,0,0
487,1992.550,la,6,14,24,25,40
488,1993.218,und,0,0,2,2,20
489,1993.219,und,0,0,33,33,33
490,1993.221,en,4,5,19,19,27
491,1995.022,und,2,6,16,16,30
492,1995.023,und,8,8,17,17,23
493,1995.024,und,12,13,27,27,29
494,1995.042,zh,1,5,5,6,17
495,1995.044,zh,0,0,3,3,8
496,1995.053a-d,und,0,0,0,0,0
497,1995.062,en,18,31,16,16,28
498,1995.063,fr,3,33,3,3,40
499,1995.064,fr,2,67,3,3,20
500,1995.065,fr,1,33,2,2,20
501,1995.066,fr,2,67,2,2,40
502,1995.069,und,3,25,10,11,43
503,1995.070,und,3,12,10,11,32
504,1995.071,und,0,0,9,10,21
505,1995.072,und,8,15,23,25,32
506,1995.073,ur,18,19,22,21,30
507,1995.075,en,0,0,23,23,36
508,1995.076,und,11,15,13,13,18
509,1996.001,und,0,0,4,4,10
510,1996.002,und,0,0,9,10,21
511,1996.003,und,0,0,12,13,26
512,1996.004,zh,0,0,4,4,22
513,1996.005,da,0,0,20,20,30
514,1996.169,en,21,24,31,28,29
515,1996.178,zh,5,13,7,7,23
516,1996.179,zh,9,8,20,20,21
517,1996.191a-f,"accession_number
1996.191a-f    und
1996.191a-f    und
Name: locale, dtype: object",22,30,33,35,37
518,1996.191a-f,"accession_number
1996.191a-f    und
1996.191a-f    und
Name: locale, dtype: object",22,30,33,35,37
519,1996.192,und,0,0,4,4,20
520,1996.204a,la,35,39,38,40,86
521,1996.204b,nl,33,36,40,42,40
522,1996.204c,la,38,40,43,43,41
523,1996.204d,nl,34,37,41,40,38
524,1997.002,und,0,0,0,0,0
525,1997.003,und,15,26,23,25,86
526,1997.155,la,16,38,23,25,40
527,1998.001,und,0,0,0,0,0
528,1998.004,und,11,11,25,23,28
529,1998.012,de,0,0,0,0,0
530,1998.059,zh,1,4,5,6,15
531,1999.144,und,9,0,26,26,30
532,1999.172a,fr,6,33,6,7,38
533,1999.172aa,fr,0,0,5,5,38
534,1999.172b,fr,4,33,5,5,20
535,1999.172bb,fr,6,100,6,7,60
536,1999.172cc,fr,0,0,9,9,40
537,1999.172d,fr,0,0,25,25,30
538,1999.172dd,fr,4,33,4,5,20
539,1999.172e,fr,0,0,8,8,38
540,1999.172ee,fr,0,0,9,9,40
541,1999.172f,fr,0,0,8,8,30
542,1999.172ff,fr,0,0,7,7,40
543,1999.172gg,fr,0,0,3,4,38
544,1999.172h,fr,0,0,5,6,40
545,1999.172i,fr,2,33,6,6,40
546,1999.172j,fr,4,33,7,7,20
547,1999.172k,fr,0,0,5,5,20
548,1999.172l,fr,4,33,4,4,20
549,1999.172m,fr,5,33,5,5,20
550,1999.172n,fr,4,33,4,4,40
551,1999.172o,fr,5,33,5,5,20
552,1999.172p,fr,5,33,6,6,40
553,1999.172q,fr,4,67,5,5,40
554,1999.172r,fr,0,0,9,9,60
555,1999.172s,fr,0,0,16,16,20
556,1999.172t,fr,0,0,7,7,40
557,1999.172u,fr,4,33,7,7,20
558,1999.172v,fr,0,0,7,7,40
559,1999.172w,fr,5,33,5,5,20
560,1999.172x,fr,0,0,11,11,40
561,1999.172y,fr,4,33,5,5,20
562,1999.172z,fr,0,0,7,7,40
563,1999.174a,la,28,33,39,39,38
564,1999.174b,la,25,31,36,36,37
565,1999.174c,la,31,39,37,38,38
566,1999.174d,la,2,33,3,3,40
567,1999.174e,la,2,67,3,3,40
568,1999.174f,la,27,33,38,39,86
569,1999.174g,la,3,67,4,4,40
570,1999.174h,la,28,29,36,36,36
571,1999.174i,la,2,33,3,3,40
572,1999.174j,la,3,33,3,3,40
573,1999.174k,la,29,36,38,38,37
574,1999.174l,la,31,37,37,38,39
575,1999.175,und,26,45,27,27,40
576,1999.176,und,0,0,0,0,0
577,1999.179,en,29,31,63,71,67
578,1999.180,en,11,17,32,32,36
579,2000.004,en,10,43,17,17,26
580,2000.119,en,0,0,0,0,0
581,2002.006,und,7,8,22,20,25
582,2002.007,und,0,0,0,0,0
583,2002.017,la,0,0,8,8,40
584,2002.018,la,0,0,8,8,40
585,2002.019,la,0,0,8,8,40
586,2002.020,la,0,0,12,12,40
587,2002.021,la,0,0,12,12,40
588,2002.022,la,0,0,11,11,40
589,2003.019,et,24,31,31,31,35
590,2003.030,fr,20,28,43,46,86
591,2003.031,und,0,0,0,0,0
592,2003.038,en,16,20,44,80,86
593,2003.041,en,18,36,24,24,32
594,2003.045,en,15,15,15,15,15
595,2003.046,en,25,35,39,39,86
596,2004.004,und,0,0,57,57,57
597,2004.005,en,10,67,10,10,40
598,2004.006,und,0,0,0,0,0
599,2004.008,ru,0,0,0,0,0
600,2004.009,und,0,0,7,12,60
601,2004.011,en,17,33,17,17,30
602,2004.012,und,0,0,0,0,0
603,2004.013,en,0,0,0,0,0
604,2004.023,da,34,43,38,38,41
605,2004.024,en,20,67,21,21,40
606,2004.025,en,22,27,30,30,28
607,2004.039,en,52,63,58,63,60
608,2004.045,en,5,67,5,6,40
609,2004.046,und,4,33,5,5,40
610,2005.032,de,4,33,4,4,20
611,2006.007,en,0,0,15,15,40
612,2006.015,en,16,24,30,48,86
613,2007.006,und,7,33,10,11,38
614,2007.010,und,0,0,0,0,0
615,2007.017,und,0,0,17,18,34
616,2007.027,la,13,23,23,23,38
617,2007.029,und,14,25,23,23,45
618,2007.030,und,0,0,0,0,0
619,2007.035,und,0,0,0,0,0
620,2007.041b,la,0,0,17,17,30
621,2007.042,es,8,56,10,11,37
622,2007.043,en,6,33,9,9,40
623,2007.044,en,11,12,29,29,37
624,2007.045,und,2,14,8,9,26
625,2007.048,fr,31,62,34,43,86
626,2007.049,en,0,0,33,33,60
627,2007.051,la,29,37,34,33,35
628,2007.053,en,26,35,37,37,37
629,2007.054a,la,17,37,24,24,38
630,2007.054b,la,30,33,38,38,39
631,2007.057,und,0,0,14,14,30
632,2007.058,de,31,38,36,37,43
633,2007.064,en,13,22,46,77,86
634,2007.066,en,1,33,3,4,20
635,2007.067,en,22,25,78,100,86
636,2009.002a,af,37,40,49,52,49
637,2009.002b,de,36,37,40,43,86
638,2009.002d,fi,15,40,15,15,36
639,2009.002e,fr,15,67,18,62,57
640,2009.002f,de,0,0,11,12,20
641,2010.003,und,5,33,11,11,20
642,2010.004,en,6,33,6,6,38
643,2010.005,en,69,73,91,91,92
644,2011.001,en,21,30,61,100,88
645,2011.011a,en,21,47,26,72,86
646,2011.011b,en,18,43,22,72,86
647,2011.011c,en,17,42,22,72,86
648,2011.011d,en,18,43,21,67,86
649,2011.012a-b,en,34,48,53,84,86
650,2011.012c-d,en,44,55,59,90,86
651,2011.012e-f,en,40,53,57,83,86
652,2011.012g-h,en,39,53,59,87,86
653,2011.012i-j,en,49,54,63,86,86
654,2011.012k,en,28,40,41,70,86
655,2011.012l,en,29,35,56,78,86
656,2012.002,it,4,67,4,4,40
657,2012.008f,en,14,17,41,57,86
658,2012.008p,en,30,33,34,47,86
659,2016.008,und,0,0,0,0,0
660,2017.001.023,en,21,33,27,27,32
661,2017.001.024,en,20,30,20,20,34
662,2017.001.025,en,22,30,24,24,34
663,2017.001.026,en,32,38,38,38,37
664,2017.001.049,und,0,0,0,0,0
665,2017.001.051,en,17,27,23,23,30
666,2017.001.057,en,17,25,25,25,34
667,2017.001.058,en,11,22,12,12,20
668,2019.001,en,40,70,52,63,86
669,2020.001,und,14,17,25,25,24
